Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Victor Wembanyama (42070148),Victor Wembanyama,42070148,C/UTIL,10700,SAC@SAS 02/21/2026 08:00PM ET,SAS,48.66
PG,Cade Cunningham (42073764),Cade Cunningham,42073764,PG/G/UTIL,10400,DET@CHI 02/21/2026 08:00PM ET,DET,50.84
C,Joel Embiid (42070150),Joel Embiid,42070150,C/UTIL,9900,PHI@NOP 02/21/2026 07:00PM ET,PHI,44.89
PG,Tyrese Maxey (42070152),Tyrese Maxey,42070152,PG/G/UTIL,9700,PHI@NOP 02/21/2026 07:00PM ET,PHI,48.54
PF/C,Alperen Sengun (42070155),Alperen Sengun,42070155,PF/C/F/UTIL,9200,HOU@NYK 02/21/2026 08:30PM ET,HOU,44.31
C,Bam Adebayo (42070159),Bam Adebayo,42070159,C/UTIL,8900,MEM@MIA 02/21/2026 08:00PM ET,MIA,38.98
PG,Jalen Brunson (42070161),Jalen Brunson,42070161,PG/G/UTIL,8800,HOU@NYK 02/21/2026 08:30PM ET,NYK,41.50
SF,Kevin Durant (42070164),Kevin Durant,42070164,SF/F/UTIL,8700,HOU@NYK 02/21/2026 08:30PM ET,HOU,41.52
PG,Ja Morant (42070167),Ja Morant,42070167,PG/G/UTIL,8400,MEM@MIA 02/21/2026 08:00PM ET,MEM,37.51
PG/SG,Trey Murphy III (42070170),Trey Murphy III,42070170,PG/SG/G/UTIL,8300,PHI@NOP 02/21/2026 07:00PM ET,NOP,39.41
C,Karl-Anthony Towns (42070174),Karl-Anthony Towns,42070174,C/UTIL,8100,HOU@NYK 02/21/2026 08:30PM ET,NYK,41.34
PG,Amen Thompson (42070176),Amen Thompson,42070176,PG/G/UTIL,8000,HOU@NYK 02/21/2026 08:30PM ET,HOU,38.34
PF,Zion Williamson (42070179),Zion Williamson,42070179,PF/F/UTIL,7900,PHI@NOP 02/21/2026 07:00PM ET,NOP,36.68
C,Jalen Duren (42070182),Jalen Duren,42070182,C/UTIL,7700,DET@CHI 02/21/2026 08:00PM ET,DET,35.43
PG,Josh Giddey (42070184),Josh Giddey,42070184,PG/G/UTIL,7600,DET@CHI 02/21/2026 08:00PM ET,CHI,44.81
PG,Russell Westbrook (42070187),Russell Westbrook,42070187,PG/G/UTIL,7500,SAC@SAS 02/21/2026 08:00PM ET,SAC,34.62
PG/SG,Tyler Herro (42070190),Tyler Herro,42070190,PG/SG/G/UTIL,7400,MEM@MIA 02/21/2026 08:00PM ET,MIA,35.25
PG,De'Aaron Fox (42070194),De'Aaron Fox,42070194,PG/G/UTIL,7300,SAC@SAS 02/21/2026 08:00PM ET,SAS,35.19
SG,Stephon Castle (42070197),Stephon Castle,42070197,SG/G/UTIL,7200,SAC@SAS 02/21/2026 08:00PM ET,SAS,36.03
SG/SF,Norman Powell (42070200),Norman Powell,42070200,SG/SF/F/G/UTIL,7100,MEM@MIA 02/21/2026 08:00PM ET,MIA,33.31
SG,DeMar DeRozan (42070205),DeMar DeRozan,42070205,SG/G/UTIL,7000,SAC@SAS 02/21/2026 08:00PM ET,SAC,30.83
SG,VJ Edgecombe (42070208),VJ Edgecombe,42070208,SG/G/UTIL,6900,PHI@NOP 02/21/2026 07:00PM ET,PHI,31.98
SF/PF,Jaime Jaquez Jr. (42070211),Jaime Jaquez Jr.,42070211,SF/PF/F/UTIL,6800,MEM@MIA 02/21/2026 08:00PM ET,MIA,30.49
SF/PF,Saddiq Bey (42070215),Saddiq Bey,42070215,SF/PF/F/UTIL,6700,PHI@NOP 02/21/2026 07:00PM ET,NOP,30.50
PF,Jabari Smith Jr. (42070219),Jabari Smith Jr.,42070219,PF/F/UTIL,6600,HOU@NYK 02/21/2026 08:30PM ET,HOU,31.08
PF,Andrew Wiggins (42070222),Andrew Wiggins,42070222,PF/F/UTIL,6500,MEM@MIA 02/21/2026 08:00PM ET,MIA,30.78
SG/SF,Josh Hart (42070225),Josh Hart,42070225,SG/SF/F/G/UTIL,6500,HOU@NYK 02/21/2026 08:30PM ET,NYK,32.48
PF,Matas Buzelis (42070230),Matas Buzelis,42070230,PF/F/UTIL,6400,DET@CHI 02/21/2026 08:00PM ET,CHI,29.07
