Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125766-157808,PG,Cade,Cade Cunningham,Cunningham,50.44857003348214,35,10600,BOS@DET,DET,BOS,,,,,,PG
125766-145331,PG,Tyrese,Tyrese Maxey,Maxey,51.66842169510691,38,10100,IND@PHI,PHI,IND,,,,,,PG
125766-67026,SF/SG,Jaylen,Jaylen Brown,Brown,45.0921052631579,38,9900,BOS@DET,BOS,DET,,,,,,SG/SF
125766-9524,PG,Stephen,Stephen Curry,Curry,41.433334812973484,33,9100,MIA@GS,GS,MIA,,,,,,PG
125766-49111,C,Joel,Joel Embiid,Embiid,39.50909146395597,22,9000,IND@PHI,PHI,IND,Q,Knee,,,,C
125766-58460,PG/SG,Devin,Devin Booker,Booker,40.17894865337171,38,8900,PHO@BKN,PHO,BKN,Q,Ankle,,,,PG/SG
125766-60021,PF/C,Pascal,Pascal Siakam,Siakam,40.514633550876525,41,8900,IND@PHI,IND,PHI,,,,,,PF/C
125766-84682,PF/SF,Michael,Michael Porter,Porter,40.728126525878906,32,8700,PHO@BKN,BKN,PHO,,,,,,SF/PF
125766-49675,SG/PG,Derrick,Derrick White,White,38.17749938964844,40,8400,BOS@DET,BOS,DET,,,,,,PG/SG
125766-14528,SF/PF,Jimmy,Jimmy Butler,Butler,37.54324258340372,37,8300,MIA@GS,GS,MIA,,,,,,SF/PF
125766-110312,SG/PG,Tyler,Tyler Herro,Herro,34.49090853604403,11,7600,MIA@GS,MIA,GS,O,Ribs,,,,PG/SG
125766-80817,C/PF,Bam,Bam Adebayo,Adebayo,36.32941032858456,34,7500,MIA@GS,MIA,GS,,,,,,PF/C
125766-171747,PG/SG,Andrew,Andrew Nembhard,Nembhard,32.345455285274625,33,7400,IND@PHI,IND,PHI,,,,,,PG/SG
125766-171779,C,Jalen,Jalen Duren,Duren,36.65757427793561,33,7300,BOS@DET,DET,BOS,,,,,,C
125766-16293,SF/SG,Norman,Norman Powell,Powell,34.93055555555556,36,7100,MIA@GS,MIA,GS,,,,,,SG/SF
125766-228133,SF/SG,VJ,VJ Edgecombe,Edgecombe,32.833333333333336,36,6700,IND@PHI,PHI,IND,,,,,,SG/SF
