Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Giannis Antetokounmpo (42062851),Giannis Antetokounmpo,42062851,PF/F/UTIL,11000,MIL@NOP 02/20/2026 08:00PM ET,MIL,51.61
PG,Shai Gilgeous-Alexander (42062854),Shai Gilgeous-Alexander,42062854,PG/G/UTIL,10700,BKN@OKC 02/20/2026 08:00PM ET,OKC,51.12
PF,Jalen Johnson (42062857),Jalen Johnson,42062857,PF/F/UTIL,10500,MIA@ATL 02/20/2026 07:30PM ET,ATL,51.71
SG,Donovan Mitchell (42062860),Donovan Mitchell,42062860,SG/G/UTIL,9500,CLE@CHA 02/20/2026 07:00PM ET,CLE,45.65
SG,Anthony Edwards (42062863),Anthony Edwards,42062863,SG/G/UTIL,9400,DAL@MIN 02/20/2026 07:30PM ET,MIN,44.96
C,Bam Adebayo (42062866),Bam Adebayo,42062866,C/UTIL,9200,MIA@ATL 02/20/2026 07:30PM ET,MIA,39.03
PG,James Harden (42062868),James Harden,42062868,PG/G/UTIL,9000,CLE@CHA 02/20/2026 07:00PM ET,CLE,46.88
PF,Pascal Siakam (42062871),Pascal Siakam,42062871,PF/F/UTIL,8900,IND@WAS 02/20/2026 07:00PM ET,IND,40.06
PG,LaMelo Ball (42062874),LaMelo Ball,42062874,PG/G/UTIL,8800,CLE@CHA 02/20/2026 07:00PM ET,CHA,39.39
PG/SF,Cooper Flagg (42062880),Cooper Flagg,42062880,PG/SF/F/G/UTIL,8700,DAL@MIN 02/20/2026 07:30PM ET,DAL,38.39
PF,Chet Holmgren (42062877),Chet Holmgren,42062877,PF/F/UTIL,8700,BKN@OKC 02/20/2026 08:00PM ET,OKC,34.81
SF,Michael Porter Jr. (42062885),Michael Porter Jr.,42062885,SF/F/UTIL,8600,BKN@OKC 02/20/2026 08:00PM ET,BKN,41.83
PG,Trae Young (42062892),Trae Young,42062892,PG/G/UTIL,8500,IND@WAS 02/20/2026 07:00PM ET,WAS,36.78
PF/C,Evan Mobley (42062888),Evan Mobley,42062888,PF/C/F/UTIL,8500,CLE@CHA 02/20/2026 07:00PM ET,CLE,40.41
PG,Ja Morant (42062898),Ja Morant,42062898,PG/G/UTIL,8400,UTA@MEM 02/20/2026 07:00PM ET,MEM,37.51
PF,Julius Randle (42062895),Julius Randle,42062895,PF/F/UTIL,8400,DAL@MIN 02/20/2026 07:30PM ET,MIN,41.90
SF,Brandon Miller (42062901),Brandon Miller,42062901,SF/F/UTIL,8300,CLE@CHA 02/20/2026 07:00PM ET,CHA,35.53
PG,Isaiah Collier (42062904),Isaiah Collier,42062904,PG/G/UTIL,8200,UTA@MEM 02/20/2026 07:00PM ET,UTA,26.62
SF,Jalen Williams (42062907),Jalen Williams,42062907,SF/F/UTIL,8200,BKN@OKC 02/20/2026 08:00PM ET,OKC,34.16
PF,Lauri Markkanen (42062914),Lauri Markkanen,42062914,PF/F/UTIL,8100,UTA@MEM 02/20/2026 07:00PM ET,UTA,42.39
PG/SG,Trey Murphy III (42062910),Trey Murphy III,42062910,PG/SG/G/UTIL,8100,MIL@NOP 02/20/2026 08:00PM ET,NOP,39.41
PG,Ryan Rollins (42062917),Ryan Rollins,42062917,PG/G/UTIL,8000,MIL@NOP 02/20/2026 08:00PM ET,MIL,34.58
PF,Zion Williamson (42062920),Zion Williamson,42062920,PF/F/UTIL,7900,MIL@NOP 02/20/2026 08:00PM ET,NOP,36.66
PG/SG,Kevin Porter Jr. (42062923),Kevin Porter Jr.,42062923,PG/SG/G/UTIL,7800,MIL@NOP 02/20/2026 08:00PM ET,MIL,40.16
PG,Keyonte George (42062927),Keyonte George,42062927,PG/G/UTIL,7700,UTA@MEM 02/20/2026 07:00PM ET,UTA,40.90
C,Alexandre Sarr (42062930),Alexandre Sarr,42062930,C/UTIL,7500,IND@WAS 02/20/2026 07:00PM ET,WAS,36.84
PG/SG,Tyler Herro (42062932),Tyler Herro,42062932,PG/SG/G/UTIL,7400,MIA@ATL 02/20/2026 07:30PM ET,MIA,35.14
