Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125997-188414,C/PF,Victor,Victor Wembanyama,Wembanyama,49.48709598664315,31,11600,NO@SA,SA,NO,,,,,,PF/C
125997-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,51.28636585582387,44,11200,TOR@OKC,OKC,TOR,,,,,,PG
125997-9644,PG/SG,James,James Harden,Harden,44.85609696551067,41,9900,BKN@LAC,LAC,BKN,,,,,,PG/SG
125997-157822,PF/SF,Scottie,Scottie Barnes,Barnes,43.49565323539402,46,9500,TOR@OKC,TOR,OKC,,,,,,SF/PF
125997-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,47.08387018019153,31,9300,BKN@LAC,LAC,BKN,Q,Illness,,,,SF/PF
125997-228113,PG/SG/SF,Cooper,Cooper Flagg,Flagg,36.51162790697674,43,8600,DAL@MIL,DAL,MIL,,,,,,PG/SG/SF
125997-80817,C/PF,Bam,Bam Adebayo,Adebayo,37,38,8500,MIA@PHO,MIA,PHO,,,,,,PF/C
125997-84682,PF/SF,Michael,Michael Porter,Porter,40.22285853794643,35,8400,BKN@LAC,BKN,LAC,,,,,,SF/PF
125997-171759,C/PF,Chet,Chet Holmgren,Holmgren,36.747500610351565,40,8300,TOR@OKC,OKC,TOR,,,,,,PF/C
125997-58460,PG/SG,Devin,Devin Booker,Booker,39.84146341463415,41,8200,MIA@PHO,PHO,MIA,O,Ankle,,,,PG/SG
125997-157847,SF/SG,Trey,Trey Murphy,Murphy,38.439535451489824,43,8100,NO@SA,NO,SA,,,,,,SG/SF
125997-110310,PF,Zion,Zion Williamson,Williamson,37.04516207787298,31,8100,NO@SA,NO,SA,,,,,,PF
125997-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.52444390190972,45,7900,TOR@OKC,TOR,OKC,,,,,,SF/PF
125997-80810,PG,De'Aaron,De'Aaron Fox,Fox,36.611111111111114,36,7700,NO@SA,SA,NO,,,,,,PG
125997-171772,PG/SG,Ryan,Ryan Rollins,Rollins,33.21363691850142,44,7700,DAL@MIL,MIL,DAL,,,,,,PG/SG
125997-203723,SG/PG,Stephon,Stephon Castle,Castle,34.672220865885414,36,7500,NO@SA,SA,NO,,,,,,PG/SG
125997-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,33.75909146395597,44,7300,TOR@OKC,TOR,OKC,Q,Ankle,,,,PG/SG
125997-16293,SF/SG,Norman,Norman Powell,Powell,33.9875,40,7200,MIA@PHO,MIA,PHO,,,,,,SG/SF
125997-145819,SF/PF,Naji,Naji Marshall,Marshall,27.082609757133152,46,7100,DAL@MIL,DAL,MIL,,,,,,SF/PF
125997-14498,PG,Kyrie,Kyrie Irving,Irving,40.49,50,7000,DAL@MIL,DAL,MIL,O,Knee,,,,PG
