Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125799-84669,PG,Luka,Luka Doncic,Doncic,57.16060754024621,33,12100,LAL@DEN,LAL,DEN,,,,,,PG
125799-55062,C,Nikola,Nikola Jokic,Jokic,63.696876525878906,32,11000,LAL@DEN,DEN,LAL,O,Knee,,,,C
125799-188414,C/PF,Victor,Victor Wembanyama,Wembanyama,49.786208580280174,29,10900,SA@HOU,SA,HOU,,,,,,PF/C
125799-145331,PG,Tyrese,Tyrese Maxey,Maxey,52.15897310697115,39,10400,PHO@PHI,PHI,PHO,,,,,,PG
125799-66108,PG/SG,Jamal,Jamal Murray,Murray,43.88205190805289,39,10100,LAL@DEN,DEN,LAL,P,Knee,,,,PG/SG
125799-157908,C/PF,Alperen,Alperen Sengun,Sengun,46.11818255800189,33,10000,SA@HOU,HOU,SA,,,,,,PF/C
125799-9644,PG/SG,James,James Harden,Harden,45.27435772235577,39,9900,LAC@CHI,LAC,CHI,,,,,,PG/SG
125799-145321,SG/SF,Anthony,Anthony Edwards,Edwards,44.826469870174634,34,9800,MIN@UTA,MIN,UTA,,,,,,SG/SF
125799-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,47.41999918619792,30,9700,LAC@CHI,LAC,CHI,O,Knee,,,,SF/PF
125799-9488,PF/SF,LeBron,LeBron James,James,42.71666463216146,24,9500,LAL@DEN,LAL,DEN,,,,,,SF/PF
125799-49111,C,Joel,Joel Embiid,Embiid,39.78260869565217,23,9300,PHO@PHI,PHI,PHO,,,,,,C
125799-157822,PF/SF,Scottie,Scottie Barnes,Barnes,43.093023255813954,43,9200,TOR@GS,TOR,GS,,,,,,SF/PF
125799-9646,SF/PF,Kevin,Kevin Durant,Durant,41.4789460834704,38,9100,SA@HOU,HOU,SA,,,,,,SF/PF
125799-9524,PG,Stephen,Stephen Curry,Curry,41.27647130629595,34,9000,TOR@GS,GS,TOR,,,,,,PG
125799-188405,SG/PG,Amen,Amen Thompson,Thompson,38.397500610351564,40,8900,SA@HOU,HOU,SA,,,,,,PG/SG
125799-58460,PG/SG,Devin,Devin Booker,Booker,39.96410193810096,39,8800,PHO@PHI,PHO,PHI,,,,,,PG/SG
125799-42669,PF,Julius,Julius Randle,Randle,40.56278956213663,43,8700,MIN@UTA,MIN,UTA,,,,,,PF
125799-188412,PG/SG,Keyonte,Keyonte George,George,39.51190476190476,42,8600,MIN@UTA,UTA,MIN,,,,,,PG/SG
125799-14528,SF/PF,Jimmy,Jimmy Butler,Butler,37.360525030838815,38,8500,TOR@GS,GS,TOR,D,Knee,,,,SF/PF
125799-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,42.75454619436553,33,8400,MIN@UTA,UTA,MIN,Q,Illness,,,,SF/PF
125799-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.471429734002974,42,8200,TOR@GS,TOR,GS,,,,,,SF/PF
125799-157905,PG/SG,Josh,Josh Giddey,Giddey,43.78666585286458,30,8000,LAC@CHI,CHI,LAC,Q,Hamstring,,,,PG/SG
125799-80817,C/PF,Bam,Bam Adebayo,Adebayo,35.917142159598214,35,7900,MIA@SAC,MIA,SAC,,,,,,PF/C
125799-9642,PG,Russell,Russell Westbrook,Westbrook,34.47674418604651,43,7800,MIA@SAC,SAC,MIA,,,,,,PG
125799-14514,C,Nikola,Nikola Vucevic,Vucevic,35.99268173589939,41,7700,LAC@CHI,CHI,LAC,,,,,,C
125799-110312,SG/PG,Tyler,Tyler Herro,Herro,34.49090853604403,11,7600,MIA@SAC,MIA,SAC,O,Ribs,,,,PG/SG
125799-171761,PF/SF,Peyton,Peyton Watson,Watson,27.073170731707318,41,7500,LAL@DEN,DEN,LAL,,,,,,SF/PF
125799-80810,PG,De'Aaron,De'Aaron Fox,Fox,36.658824247472424,34,7400,SA@HOU,SA,HOU,,,,,,PG
125799-59358,C/PF,Domantas,Domantas Sabonis,Sabonis,36.44615290715144,13,7400,MIA@SAC,SAC,MIA,,,,,,PF/C
125799-203723,SG/PG,Stephon,Stephon Castle,Castle,34.458822811351105,34,7300,SA@HOU,SA,HOU,,,,,,PG/SG
125799-9714,SF/PF,DeMar,DeMar DeRozan,DeRozan,32.8813959166061,43,7200,MIA@SAC,SAC,MIA,,,,,,SF/PF
125799-16293,SF/SG,Norman,Norman Powell,Powell,34.69189123205236,37,7100,MIA@SAC,MIA,SAC,,,,,,SG/SF
125799-158136,SG/SF,Austin,Austin Reaves,Reaves,42.52173913043478,23,7100,LAL@DEN,LAL,DEN,O,Calf,,,,SG/SF
125799-41594,PF,Aaron,Aaron Gordon,Gordon,30.345001220703125,20,6900,LAL@DEN,DEN,LAL,P,Hamstring,,,,PF
125799-145319,SF/PF,Jaden,Jaden McDaniels,McDaniels,29.146341463414632,41,6900,MIN@UTA,MIN,UTA,,,,,,SF/PF
125799-203761,PF/SF,Matas,Matas Buzelis,Buzelis,28.471429734002974,42,6900,LAC@CHI,CHI,LAC,,,,,,SF/PF
125799-55057,C,Jusuf,Jusuf Nurkic,Nurkic,32.13030450994318,33,6800,MIN@UTA,UTA,MIN,,,,,,C
125799-110326,SG/PG,Coby,Coby White,White,28.700000581287203,21,6700,LAC@CHI,CHI,LAC,,,,,,PG/SG
125799-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,32.65121832126525,41,6700,TOR@GS,TOR,GS,,,,,,PG/SG
125799-70827,C,Ivica,Ivica Zubac,Zubac,33.388888888888886,36,6600,LAC@CHI,LAC,CHI,,,,,,C
125799-110357,SG/SF,RJ,RJ Barrett,Barrett,32.57391357421875,23,6600,TOR@GS,TOR,GS,O,Ankle,,,,SG/SF
125799-12341,SF/PF,Paul,Paul George,George,31.530435313349184,23,6500,PHO@PHI,PHI,PHO,Q,Knee,,,,SF/PF
125799-84673,C,Deandre,Deandre Ayton,Ayton,29.705556233723957,36,6500,LAL@DEN,LAL,DEN,,,,,,C
125799-228133,SF/SG,VJ,VJ Edgecombe,Edgecombe,32.486486486486484,37,6500,PHO@PHI,PHI,PHO,,,,,,SG/SF
125799-110995,C/PF,Naz,Naz Reid,Reid,29.181396484375,43,6500,MIN@UTA,MIN,UTA,Q,Shoulder,,,,PF/C
125799-203778,PF/C,Kyle,Kyle Filipowski,Filipowski,22.097618466331845,42,6400,MIN@UTA,UTA,MIN,,,,,,PF/C
125799-40203,C,Rudy,Rudy Gobert,Gobert,32.9365859613186,41,6400,MIN@UTA,MIN,UTA,,,,,,C
125799-84711,SG/SF,Grayson,Grayson Allen,Allen,29.06923029972957,26,6300,PHO@PHI,PHO,PHI,,,,,,SG/SF
125799-84681,SG/PG,Donte,Donte DiVincenzo,DiVincenzo,28.83488428869913,43,6200,MIN@UTA,MIN,UTA,,,,,,PG/SG
125799-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,30.77948780548878,39,6200,MIA@SAC,MIA,SAC,,,,,,SF/PF
125799-40783,SF/SG,Zach,Zach LaVine,LaVine,27.512904013356856,31,6100,MIA@SAC,SAC,MIA,,,,,,SG/SF
125799-171767,PF/C,Jabari,Jabari Smith,Smith,29.812819260817307,39,6000,SA@HOU,HOU,SA,,,,,,PF/C
125799-171786,C,Mark,Mark Williams,Williams,29.236842105263158,38,6000,PHO@PHI,PHO,PHI,,,,,,C
125799-145323,SG/PG,Tre,Tre Jones,Jones,27.386111789279514,36,6000,LAC@CHI,CHI,LAC,,,,,,PG/SG
125799-171769,SF/PF,Tari,Tari Eason,Eason,25.11904761904762,21,5900,SA@HOU,HOU,SA,Q,Ankle,,,,SF/PF
125799-228122,PF/C,Collin,Collin Murray-Boyles,Murray-Boyles,20.440540210620778,37,5900,TOR@GS,TOR,GS,O,Thumb,,,,PF/C
125799-188413,SF/SG,Brice,Brice Sensabaugh,Sensabaugh,18.807316477705793,41,5900,MIN@UTA,UTA,MIN,Q,Illness,,,,SG/SF
125799-171668,PG/SG,Collin,Collin Gillespie,Gillespie,29.086045376090116,43,5800,PHO@PHI,PHO,PHI,,,,,,PG/SG
125799-145322,C/PF,Jalen,Jalen Smith,Smith,22.62285679408482,35,5800,LAC@CHI,CHI,LAC,,,,,,PF/C
125799-157849,SG,Ayo,Ayo Dosunmu,Dosunmu,24.77777777777778,36,5700,LAC@CHI,CHI,LAC,,,,,,SG
125799-60233,SF/SG,Dillon,Dillon Brooks,Brooks,29.04054054054054,37,5700,PHO@PHI,PHO,PHI,,,,,,SG/SF
125799-15860,PF/C,Draymond,Draymond Green,Green,25.591666327582466,36,5700,TOR@GS,GS,TOR,P,Ankle,,,,PF/C
125799-188433,SG/PG,Brandin,Brandin Podziemski,Podziemski,24.92954600941051,44,5600,TOR@GS,GS,TOR,,,,,,PG/SG
125799-66236,PF/C,John,John Collins,Collins,24.25128173828125,39,5600,LAC@CHI,LAC,CHI,,,,,,PF/C
125799-188422,SF/PF,Jaime,Jaime Jaquez,Jaquez,29.776315789473685,38,5500,MIA@SAC,MIA,SAC,,,,,,SF/PF
125799-171757,PF/SF,Jake,Jake LaRavia,LaRavia,21.878048780487806,41,5500,LAL@DEN,LAL,DEN,,,,,,SF/PF
