Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (41831044),Nikola Jokic,41831044,C/UTIL,11700,DEN@NYK 02/04/2026 07:00PM ET,DEN,66.25
PF,Giannis Antetokounmpo (41831046),Giannis Antetokounmpo,41831046,PF/F/UTIL,11000,NOP@MIL 02/04/2026 08:00PM ET,MIL,51.61
PG,Shai Gilgeous-Alexander (41831049),Shai Gilgeous-Alexander,41831049,PG/G/UTIL,10700,OKC@SAS 02/04/2026 09:30PM ET,OKC,51.12
C,Victor Wembanyama (41831052),Victor Wembanyama,41831052,C/UTIL,10000,OKC@SAS 02/04/2026 09:30PM ET,SAS,49.29
SF,Jaylen Brown (41831054),Jaylen Brown,41831054,SF/F/UTIL,9900,BOS@HOU 02/04/2026 08:00PM ET,BOS,48
PG,James Harden (41831064),James Harden,41831064,PG/G/UTIL,9500,CLE@LAC 02/04/2026 10:30PM ET,CLE,47.26
SG,Donovan Mitchell (41831061),Donovan Mitchell,41831061,SG/G/UTIL,9600,CLE@LAC 02/04/2026 10:30PM ET,CLE,47.11
PF/C,Alperen Sengun (41831057),Alperen Sengun,41831057,PF/C/F/UTIL,9700,BOS@HOU 02/04/2026 08:00PM ET,HOU,46.85
SF,Kawhi Leonard (41831070),Kawhi Leonard,41831070,SF/F/UTIL,9300,CLE@LAC 02/04/2026 10:30PM ET,LAC,46.51
SG,Anthony Edwards (41831067),Anthony Edwards,41831067,SG/G/UTIL,9400,MIN@TOR 02/04/2026 07:30PM ET,MIN,46.35
PG,Jamal Murray (41831073),Jamal Murray,41831073,PG/G/UTIL,9200,DEN@NYK 02/04/2026 07:00PM ET,DEN,45.92
PF,Scottie Barnes (41831076),Scottie Barnes,41831076,PF/F/UTIL,9000,MIN@TOR 02/04/2026 07:30PM ET,TOR,43.64
SG/SF,Kevin Durant (41831082),Kevin Durant,41831082,SG/SF/F/G/UTIL,8700,BOS@HOU 02/04/2026 08:00PM ET,HOU,42.92
C,Karl-Anthony Towns (41831105),Karl-Anthony Towns,41831105,C/UTIL,8300,DEN@NYK 02/04/2026 07:00PM ET,NYK,42.67
PG,Jalen Brunson (41831087),Jalen Brunson,41831087,PG/G/UTIL,8600,DEN@NYK 02/04/2026 07:00PM ET,NYK,42.24
PF,Julius Randle (41831099),Julius Randle,41831099,PF/F/UTIL,8400,MIN@TOR 02/04/2026 07:30PM ET,MIN,41.78
PF/C,Evan Mobley (41831095),Evan Mobley,41831095,PF/C/F/UTIL,8500,CLE@LAC 02/04/2026 10:30PM ET,CLE,40.77
PG,Amen Thompson (41831092),Amen Thompson,41831092,PG/G/UTIL,8500,BOS@HOU 02/04/2026 08:00PM ET,HOU,39.5
PG,Kevin Porter Jr. (41831136),Kevin Porter Jr.,41831136,PG/G/UTIL,7500,NOP@MIL 02/04/2026 08:00PM ET,MIL,39.09
PG,Trey Murphy III (41831123),Trey Murphy III,41831123,PG/G/UTIL,7800,NOP@MIL 02/04/2026 08:00PM ET,NOP,38.8
C,Domantas Sabonis (41831090),Domantas Sabonis,41831090,C/UTIL,8600,MEM@SAC 02/04/2026 10:00PM ET,SAC,37.6
SG,Brandon Ingram (41831113),Brandon Ingram,41831113,SG/G/UTIL,8000,MIN@TOR 02/04/2026 07:30PM ET,TOR,37.6
PG,Ja Morant (41831102),Ja Morant,41831102,PG/G/UTIL,8400,MEM@SAC 02/04/2026 10:00PM ET,MEM,37.51
C,Nikola Vucevic (41831134),Nikola Vucevic,41831134,C/UTIL,7600,BOS@HOU 02/04/2026 08:00PM ET,BOS,37.11
PG,De'Aaron Fox (41831159),De'Aaron Fox,41831159,PG/G/UTIL,7000,OKC@SAS 02/04/2026 09:30PM ET,SAS,36.94
PF,Zion Williamson (41831110),Zion Williamson,41831110,PF/F/UTIL,8100,NOP@MIL 02/04/2026 08:00PM ET,NOP,36.79
PG/SG,Derrick White (41831119),Derrick White,41831119,PG/SG/G/UTIL,7900,BOS@HOU 02/04/2026 08:00PM ET,BOS,36.72
PF,Chet Holmgren (41831107),Chet Holmgren,41831107,PF/F/UTIL,8200,OKC@SAS 02/04/2026 09:30PM ET,OKC,36.25
PG,Ty Jerome (41831265),Ty Jerome,41831265,PG/G/UTIL,5500,MEM@SAC 02/04/2026 10:00PM ET,MEM,36.12
PG,Russell Westbrook (41831116),Russell Westbrook,41831116,PG/G/UTIL,8000,MEM@SAC 02/04/2026 10:00PM ET,SAC,35.97
SG,Stephon Castle (41831172),Stephon Castle,41831172,SG/G/UTIL,6800,OKC@SAS 02/04/2026 09:30PM ET,SAS,35.82
PG,Immanuel Quickley (41831144),Immanuel Quickley,41831144,PG/G/UTIL,7200,MIN@TOR 02/04/2026 07:30PM ET,TOR,34.85
PG,Ryan Rollins (41831079),Ryan Rollins,41831079,PG/G/UTIL,8800,NOP@MIL 02/04/2026 08:00PM ET,MIL,34.69
SF,Jalen Williams (41831139),Jalen Williams,41831139,SF/F/UTIL,7400,OKC@SAS 02/04/2026 09:30PM ET,OKC,34.08
C,Ivica Zubac (41831170),Ivica Zubac,41831170,C/UTIL,6800,CLE@LAC 02/04/2026 10:30PM ET,LAC,33.8
C,Zach Edey (41831209),Zach Edey,41831209,C/UTIL,6300,MEM@SAC 02/04/2026 10:00PM ET,MEM,33.77
PG,Darius Garland (41831156),Darius Garland,41831156,PG/G/UTIL,7100,CLE@LAC 02/04/2026 10:30PM ET,LAC,33.18
