Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (41996255),Nikola Jokic,41996255,C/UTIL,12100,CLE@DEN 02/09/2026 09:00PM ET,DEN,66.63
PF,Jalen Johnson (41996260),Jalen Johnson,41996260,PF/F/UTIL,10700,ATL@MIN 02/09/2026 08:00PM ET,ATL,53.13
PF,Giannis Antetokounmpo (41996257),Giannis Antetokounmpo,41996257,PF/F/UTIL,11000,MIL@ORL 02/09/2026 07:30PM ET,MIL,51.61
PG,Cade Cunningham (41996263),Cade Cunningham,41996263,PG/G/UTIL,10000,DET@CHA 02/09/2026 07:00PM ET,DET,51.29
SG,Donovan Mitchell (41996269),Donovan Mitchell,41996269,SG/G/UTIL,9500,CLE@DEN 02/09/2026 09:00PM ET,CLE,47.39
PG,James Harden (41996278),James Harden,41996278,PG/G/UTIL,9000,CLE@DEN 02/09/2026 09:00PM ET,CLE,47.11
SG,Anthony Edwards (41996266),Anthony Edwards,41996266,SG/G/UTIL,9700,ATL@MIN 02/09/2026 08:00PM ET,MIN,46.4
PG,Jamal Murray (41996275),Jamal Murray,41996275,PG/G/UTIL,9100,CLE@DEN 02/09/2026 09:00PM ET,DEN,46.21
PG,Josh Giddey (41996330),Josh Giddey,41996330,PG/G/UTIL,7600,CHI@BKN 02/09/2026 07:30PM ET,CHI,45.5
SF/PF,Lauri Markkanen (41996301),Lauri Markkanen,41996301,SF/PF/F/UTIL,8100,UTA@MIA 02/09/2026 07:30PM ET,UTA,42.92
PF,Paolo Banchero (41996272),Paolo Banchero,41996272,PF/F/UTIL,9300,MIL@ORL 02/09/2026 07:30PM ET,ORL,42.3
SF,Michael Porter Jr. (41996283),Michael Porter Jr.,41996283,SF/F/UTIL,8700,CHI@BKN 02/09/2026 07:30PM ET,BKN,42.22
PF,Julius Randle (41996295),Julius Randle,41996295,PF/F/UTIL,8300,ATL@MIN 02/09/2026 08:00PM ET,MIN,41.37
PG,Keyonte George (41996308),Keyonte George,41996308,PG/G/UTIL,7900,UTA@MIA 02/09/2026 07:30PM ET,UTA,40.9
PF/C,Evan Mobley (41996289),Evan Mobley,41996289,PF/C/F/UTIL,8500,CLE@DEN 02/09/2026 09:00PM ET,CLE,40.77
PG/SG,Kevin Porter Jr. (41996322),Kevin Porter Jr.,41996322,PG/SG/G/UTIL,7700,MIL@ORL 02/09/2026 07:30PM ET,MIL,39.79
PG,LaMelo Ball (41996305),LaMelo Ball,41996305,PG/G/UTIL,8000,DET@CHA 02/09/2026 07:00PM ET,CHA,39.65
PG,Trey Murphy III (41996298),Trey Murphy III,41996298,PG/G/UTIL,8200,SAC@NOP 02/09/2026 08:00PM ET,NOP,39.54
C,Bam Adebayo (41996281),Bam Adebayo,41996281,C/UTIL,8800,UTA@MIA 02/09/2026 07:30PM ET,MIA,38.47
C,Walker Kessler (41997004),Walker Kessler,41997004,C/UTIL,3000,UTA@MIA 02/09/2026 07:30PM ET,UTA,38.4
C,Domantas Sabonis (41996293),Domantas Sabonis,41996293,C/UTIL,8400,SAC@NOP 02/09/2026 08:00PM ET,SAC,38.26
SF,Franz Wagner (41996317),Franz Wagner,41996317,SF/F/UTIL,7800,MIL@ORL 02/09/2026 07:30PM ET,ORL,37.89
PF,Zion Williamson (41996311),Zion Williamson,41996311,PF/F/UTIL,7900,SAC@NOP 02/09/2026 08:00PM ET,NOP,36.84
C,Jalen Duren (41996320),Jalen Duren,41996320,C/UTIL,7700,DET@CHA 02/09/2026 07:00PM ET,DET,36.78
C,Onyeka Okongwu (41996356),Onyeka Okongwu,41996356,C/UTIL,7200,ATL@MIN 02/09/2026 08:00PM ET,ATL,35.71
PG,Russell Westbrook (41996314),Russell Westbrook,41996314,PG/G/UTIL,7800,SAC@NOP 02/09/2026 08:00PM ET,SAC,35.4
PG/SG,Tyler Herro (41996340),Tyler Herro,41996340,PG/SG/G/UTIL,7400,UTA@MIA 02/09/2026 07:30PM ET,MIA,35.14
SF,Brandon Miller (41996337),Brandon Miller,41996337,SF/F/UTIL,7500,DET@CHA 02/09/2026 07:00PM ET,CHA,35.06
SG/SF,Norman Powell (41996351),Norman Powell,41996351,SG/SF/F/G/UTIL,7200,UTA@MIA 02/09/2026 07:30PM ET,MIA,34.78
PG,Ryan Rollins (41996286),Ryan Rollins,41996286,PG/G/UTIL,8600,MIL@ORL 02/09/2026 07:30PM ET,MIL,34.72
C,Jusuf Nurkic (41996358),Jusuf Nurkic,41996358,C/UTIL,7100,UTA@MIA 02/09/2026 07:30PM ET,UTA,34.7
PF/C,Jaren Jackson Jr. (41996326),Jaren Jackson Jr.,41996326,PF/C/F/UTIL,7600,UTA@MIA 02/09/2026 07:30PM ET,UTA,34.3
SG,Nickeil Alexander-Walker (41996360),Nickeil Alexander-Walker,41996360,SG/G/UTIL,7000,ATL@MIN 02/09/2026 08:00PM ET,ATL,34.14
PF,Miles Bridges (41996418),Miles Bridges,41996418,PF/F/UTIL,6400,DET@CHA 02/09/2026 07:00PM ET,CHA,33.89
SG,Desmond Bane (41996392),Desmond Bane,41996392,SG/G/UTIL,6700,MIL@ORL 02/09/2026 07:30PM ET,ORL,33.61
SG,Kon Knueppel (41996413),Kon Knueppel,41996413,SG/G/UTIL,6400,DET@CHA 02/09/2026 07:00PM ET,CHA,33.59
PG,Dyson Daniels (41996389),Dyson Daniels,41996389,PG/G/UTIL,6700,ATL@MIN 02/09/2026 08:00PM ET,ATL,32.82
C,Rudy Gobert (41996403),Rudy Gobert,41996403,C/UTIL,6600,ATL@MIN 02/09/2026 08:00PM ET,MIN,32.29
PG,Jalen Suggs (41996386),Jalen Suggs,41996386,PG/G/UTIL,6800,MIL@ORL 02/09/2026 07:30PM ET,ORL,32.11
PG/SG,Coby White (41996405),Coby White,41996405,PG/SG/G/UTIL,6600,DET@CHA 02/09/2026 07:00PM ET,CHA,31.6
PF/C,Aaron Gordon (41996399),Aaron Gordon,41996399,PF/C/F/UTIL,6700,CLE@DEN 02/09/2026 09:00PM ET,DEN,31.48
SF/PF,DeMar DeRozan (41996344),DeMar DeRozan,41996344,SF/PF/F/UTIL,7300,SAC@NOP 02/09/2026 08:00PM ET,SAC,31.4
PG/SG,Anthony Black (41996372),Anthony Black,41996372,PG/SG/G/UTIL,6900,MIL@ORL 02/09/2026 07:30PM ET,ORL,31.09
C,Derik Queen (41996429),Derik Queen,41996429,C/UTIL,6200,SAC@NOP 02/09/2026 08:00PM ET,NOP,31.01
C,Jarrett Allen (41996367),Jarrett Allen,41996367,C/UTIL,7000,CLE@DEN 02/09/2026 09:00PM ET,CLE,31
C,Nic Claxton (41996416),Nic Claxton,41996416,C/UTIL,6500,CHI@BKN 02/09/2026 07:30PM ET,BKN,30.91
PF,Andrew Wiggins (41996421),Andrew Wiggins,41996421,PF/F/UTIL,6300,UTA@MIA 02/09/2026 07:30PM ET,MIA,30.68
PF/C,Naz Reid (41996409),Naz Reid,41996409,PF/C/F/UTIL,6500,ATL@MIN 02/09/2026 08:00PM ET,MIN,30.53
PG/SG,CJ McCollum (41996437),CJ McCollum,41996437,PG/SG/G/UTIL,6100,ATL@MIN 02/09/2026 08:00PM ET,ATL,30.52
SF/PF,Saddiq Bey (41996395),Saddiq Bey,41996395,SF/PF/F/UTIL,6600,SAC@NOP 02/09/2026 08:00PM ET,NOP,30.5
SF/PF,Jaime Jaquez Jr. (41996379),Jaime Jaquez Jr.,41996379,SF/PF/F/UTIL,6800,UTA@MIA 02/09/2026 07:30PM ET,MIA,30.34
PF,Keegan Murray (41996455),Keegan Murray,41996455,PF/F/UTIL,5800,SAC@NOP 02/09/2026 08:00PM ET,SAC,30.32
PG,Donte DiVincenzo (41996426),Donte DiVincenzo,41996426,PG/G/UTIL,6200,ATL@MIN 02/09/2026 08:00PM ET,MIN,29.34
PF,Matas Buzelis (41996369),Matas Buzelis,41996369,PF/F/UTIL,6900,CHI@BKN 02/09/2026 07:30PM ET,CHI,29.19
SF,Peyton Watson (41996376),Peyton Watson,41996376,SF/F/UTIL,6900,CLE@DEN 02/09/2026 09:00PM ET,DEN,28.34
SG,Zach LaVine (41996383),Zach LaVine,41996383,SG/G/UTIL,6800,SAC@NOP 02/09/2026 08:00PM ET,SAC,28.33
SF,Jaden McDaniels (41996434),Jaden McDaniels,41996434,SF/F/UTIL,6100,ATL@MIN 02/09/2026 08:00PM ET,MIN,27.92
C,Kel'el Ware (41996543),Kel'el Ware,41996543,C/UTIL,4800,UTA@MIA 02/09/2026 07:30PM ET,MIA,27.9
PG,Tre Jones (41996491),Tre Jones,41996491,PG/G/UTIL,5400,CHI@BKN 02/09/2026 07:30PM ET,CHI,27.64
C,Myles Turner (41996424),Myles Turner,41996424,C/UTIL,6300,MIL@ORL 02/09/2026 07:30PM ET,MIL,27.45
SF,Jaylon Tyson (41996431),Jaylon Tyson,41996431,SF/F/UTIL,6200,CLE@DEN 02/09/2026 09:00PM ET,CLE,27.3
C,Wendell Carter Jr. (41996516),Wendell Carter Jr.,41996516,C/UTIL,5100,MIL@ORL 02/09/2026 07:30PM ET,ORL,27.14
SF,Ausar Thompson (41996458),Ausar Thompson,41996458,SF/F/UTIL,5700,DET@CHA 02/09/2026 07:00PM ET,DET,26.87
SG/SF,Ayo Dosunmu (41996445),Ayo Dosunmu,41996445,SG/SF/F/G/UTIL,6000,ATL@MIN 02/09/2026 08:00PM ET,MIN,26.45
PF/C,Bobby Portis (41996333),Bobby Portis,41996333,PF/C/F/UTIL,7500,MIL@ORL 02/09/2026 07:30PM ET,MIL,26.31
PG,Isaiah Collier (41996348),Isaiah Collier,41996348,PG/G/UTIL,7300,UTA@MIA 02/09/2026 07:30PM ET,UTA,26.07
PG,Dennis Schroder (41996513),Dennis Schroder,41996513,PG/G/UTIL,5200,CLE@DEN 02/09/2026 09:00PM ET,CLE,25.98
PF,Tobias Harris (41996494),Tobias Harris,41996494,PF/F/UTIL,5500,DET@CHA 02/09/2026 07:00PM ET,DET,25.31
PG,Davion Mitchell (41996518),Davion Mitchell,41996518,PG/G/UTIL,5100,UTA@MIA 02/09/2026 07:30PM ET,MIA,25.28
SF/PF,Kyle Kuzma (41996363),Kyle Kuzma,41996363,SF/PF/F/UTIL,7100,MIL@ORL 02/09/2026 07:30PM ET,MIL,25.18
C,Moussa Diabate (41996489),Moussa Diabate,41996489,C/UTIL,5400,DET@CHA 02/09/2026 07:00PM ET,CHA,24.95
C,Jock Landale (41996521),Jock Landale,41996521,C/UTIL,5000,ATL@MIN 02/09/2026 08:00PM ET,ATL,24.63
PG/SG,Jeremiah Fears (41996640),Jeremiah Fears,41996640,PG/SG/G/UTIL,4100,SAC@NOP 02/09/2026 08:00PM ET,NOP,24.49
PF,Noah Clowney (41996545),Noah Clowney,41996545,PF/F/UTIL,4800,CHI@BKN 02/09/2026 07:30PM ET,BKN,24.05
PG/SG,Collin Sexton (41996566),Collin Sexton,41996566,PG/SG/G/UTIL,4600,CHI@BKN 02/09/2026 07:30PM ET,CHI,23.91
SF/PF,Jonathan Kuminga (41996587),Jonathan Kuminga,41996587,SF/PF/F/UTIL,4500,ATL@MIN 02/09/2026 08:00PM ET,ATL,23.91
C,Jalen Smith (41996453),Jalen Smith,41996453,C/UTIL,5900,CHI@BKN 02/09/2026 07:30PM ET,CHI,23.71
