Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (42025707),Luka Doncic,42025707,PG/G/UTIL,12000,DAL@LAL 02/12/2026 10:00PM ET,LAL,60.26
PF,Giannis Antetokounmpo (42025710),Giannis Antetokounmpo,42025710,PF/F/UTIL,11000,MIL@OKC 02/12/2026 07:30PM ET,MIL,51.61
PG,Shai Gilgeous-Alexander (42025713),Shai Gilgeous-Alexander,42025713,PG/G/UTIL,10900,MIL@OKC 02/12/2026 07:30PM ET,OKC,51.12
PF,Deni Avdija (42025716),Deni Avdija,42025716,PF/F/UTIL,9000,POR@UTA 02/12/2026 09:00PM ET,POR,46.78
PF,LeBron James (42025724),LeBron James,42025724,PF/F/UTIL,8800,DAL@LAL 02/12/2026 10:00PM ET,LAL,42.21
PG/SF,Cooper Flagg (42025719),Cooper Flagg,42025719,PG/SF/F/G/UTIL,8700,DAL@LAL 02/12/2026 10:00PM ET,DAL,38.39
PF,Chet Holmgren (42025727),Chet Holmgren,42025727,PF/F/UTIL,8600,MIL@OKC 02/12/2026 07:30PM ET,OKC,35.91
SF,Jalen Williams (42025734),Jalen Williams,42025734,SF/F/UTIL,8200,MIL@OKC 02/12/2026 07:30PM ET,OKC,34.16
SF/PF,Lauri Markkanen (42025730),Lauri Markkanen,42025730,SF/PF/F/UTIL,8100,POR@UTA 02/12/2026 09:00PM ET,UTA,42.39
PG,Ryan Rollins (42025737),Ryan Rollins,42025737,PG/G/UTIL,8000,MIL@OKC 02/12/2026 07:30PM ET,MIL,34.58
PG,Isaiah Collier (42025740),Isaiah Collier,42025740,PG/G/UTIL,7900,POR@UTA 02/12/2026 09:00PM ET,UTA,26.44
PG/SG,Kevin Porter Jr. (42025743),Kevin Porter Jr.,42025743,PG/SG/G/UTIL,7800,MIL@OKC 02/12/2026 07:30PM ET,MIL,40.51
PG,Keyonte George (42025747),Keyonte George,42025747,PG/G/UTIL,7700,POR@UTA 02/12/2026 09:00PM ET,UTA,40.90
PG/SG,Austin Reaves (42025753),Austin Reaves,42025753,PG/SG/G/UTIL,7700,DAL@LAL 02/12/2026 10:00PM ET,LAL,43.40
SG,Shaedon Sharpe (42025750),Shaedon Sharpe,42025750,SG/G/UTIL,7600,POR@UTA 02/12/2026 09:00PM ET,POR,33.45
PF/C,Jaren Jackson Jr. (42025757),Jaren Jackson Jr.,42025757,PF/C/F/UTIL,7400,POR@UTA 02/12/2026 09:00PM ET,UTA,34.35
C,Donovan Clingan (42025761),Donovan Clingan,42025761,C/UTIL,7200,POR@UTA 02/12/2026 09:00PM ET,POR,32.84
C,Jusuf Nurkic (42025767),Jusuf Nurkic,42025767,C/UTIL,6800,POR@UTA 02/12/2026 09:00PM ET,UTA,34.52
PF/C,Bobby Portis (42025763),Bobby Portis,42025763,PF/C/F/UTIL,6800,MIL@OKC 02/12/2026 07:30PM ET,MIL,25.62
PF/C,Kyle Filipowski (42025769),Kyle Filipowski,42025769,PF/C/F/UTIL,6700,POR@UTA 02/12/2026 09:00PM ET,UTA,23.12
SF/PF,Kyle Kuzma (42025773),Kyle Kuzma,42025773,SF/PF/F/UTIL,6700,MIL@OKC 02/12/2026 07:30PM ET,MIL,24.85
SF/PF,Jerami Grant (42025777),Jerami Grant,42025777,SF/PF/F/UTIL,6600,POR@UTA 02/12/2026 09:00PM ET,POR,29.49
SF,Toumani Camara (42025781),Toumani Camara,42025781,SF/F/UTIL,6400,POR@UTA 02/12/2026 09:00PM ET,POR,26.82
C,Myles Turner (42025784),Myles Turner,42025784,C/UTIL,6400,MIL@OKC 02/12/2026 07:30PM ET,MIL,27.58
PG,Jrue Holiday (42025786),Jrue Holiday,42025786,PG/G/UTIL,6300,POR@UTA 02/12/2026 09:00PM ET,POR,33.29
C,Isaiah Hartenstein (42025789),Isaiah Hartenstein,42025789,C/UTIL,6200,MIL@OKC 02/12/2026 07:30PM ET,OKC,30.93
SG/SF,Ace Bailey (42025801),Ace Bailey,42025801,SG/SF/F/G/UTIL,6000,POR@UTA 02/12/2026 09:00PM ET,UTA,21.59
SG/SF,Naji Marshall (42025791),Naji Marshall,42025791,SG/SF/F/G/UTIL,6000,DAL@LAL 02/12/2026 10:00PM ET,DAL,27.69
SG/SF,Cason Wallace (42025796),Cason Wallace,42025796,SG/SF/F/G/UTIL,6000,MIL@OKC 02/12/2026 07:30PM ET,OKC,20.24
SF/PF,PJ Washington (42025806),PJ Washington,42025806,SF/PF/F/UTIL,5900,DAL@LAL 02/12/2026 10:00PM ET,DAL,30.08
C,Deandre Ayton (42025810),Deandre Ayton,42025810,C/UTIL,5700,DAL@LAL 02/12/2026 10:00PM ET,LAL,28.19
