Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Jalen Johnson (41839341),Jalen Johnson,41839341,PF/F/UTIL,10500,UTA@ATL 02/05/2026 07:30PM ET,ATL,52.60
PG,Cade Cunningham (41839344),Cade Cunningham,41839344,PG/G/UTIL,10200,WAS@DET 02/05/2026 07:00PM ET,DET,51.84
C,Victor Wembanyama (41839347),Victor Wembanyama,41839347,C/UTIL,10000,SAS@DAL 02/05/2026 08:30PM ET,SAS,49.24
PF/C,Anthony Davis (41839349),Anthony Davis,41839349,PF/C/F/UTIL,9500,WAS@DET 02/05/2026 07:00PM ET,WAS,44.06
PF/C,Alperen Sengun (41839353),Alperen Sengun,41839353,PF/C/F/UTIL,9400,CHA@HOU 02/05/2026 08:00PM ET,HOU,46.52
PF,Paolo Banchero (41839357),Paolo Banchero,41839357,PF/F/UTIL,9300,BKN@ORL 02/05/2026 07:00PM ET,ORL,42.21
PF,Scottie Barnes (41839360),Scottie Barnes,41839360,PF/F/UTIL,9100,CHI@TOR 02/05/2026 07:30PM ET,TOR,43.78
SG/SF,Kevin Durant (41839363),Kevin Durant,41839363,SG/SF/F/G/UTIL,8900,CHA@HOU 02/05/2026 08:00PM ET,HOU,42.59
PG/SF,Cooper Flagg (41839368),Cooper Flagg,41839368,PG/SF/F/G/UTIL,8700,SAS@DAL 02/05/2026 08:30PM ET,DAL,38.36
SF,Michael Porter Jr. (41839373),Michael Porter Jr.,41839373,SF/F/UTIL,8600,BKN@ORL 02/05/2026 07:00PM ET,BKN,43.01
PG,Trae Young (41839376),Trae Young,41839376,PG/G/UTIL,8500,WAS@DET 02/05/2026 07:00PM ET,WAS,36.78
PG,Amen Thompson (41839379),Amen Thompson,41839379,PG/G/UTIL,8400,CHA@HOU 02/05/2026 08:00PM ET,HOU,39.17
PF,Lauri Markkanen (41839382),Lauri Markkanen,41839382,PF/F/UTIL,8300,UTA@ATL 02/05/2026 07:30PM ET,UTA,43.40
PG,Keyonte George (41839385),Keyonte George,41839385,PG/G/UTIL,8200,UTA@ATL 02/05/2026 07:30PM ET,UTA,41.57
