Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (42142196),Luka Doncic,42142196,PG/G/UTIL,11700,SAC@LAL 03/01/2026 09:30PM ET,LAL,58.90
PG,Cade Cunningham (42142199),Cade Cunningham,42142199,PG/G/UTIL,11000,DET@ORL 03/01/2026 06:00PM ET,DET,51.24
PG,Shai Gilgeous-Alexander (42142202),Shai Gilgeous-Alexander,42142202,PG/G/UTIL,10700,OKC@DAL 03/01/2026 08:00PM ET,OKC,51.32
PF,Jalen Johnson (42142205),Jalen Johnson,42142205,PF/F/UTIL,10500,POR@ATL 03/01/2026 06:00PM ET,ATL,51.04
PG,Tyrese Maxey (42142208),Tyrese Maxey,42142208,PG/G/UTIL,10100,PHI@BOS 03/01/2026 08:00PM ET,PHI,49.25
SG/SF,Jaylen Brown (42142211),Jaylen Brown,42142211,SG/SF/F/G/UTIL,9800,PHI@BOS 03/01/2026 08:00PM ET,BOS,46.76
SG/SF,Kawhi Leonard (42142216),Kawhi Leonard,42142216,SG/SF/F/G/UTIL,9700,NOP@LAC 03/01/2026 09:00PM ET,LAC,46.29
C,Joel Embiid (42142221),Joel Embiid,42142221,C/UTIL,9600,PHI@BOS 03/01/2026 08:00PM ET,PHI,44.95
PF,Paolo Banchero (42142223),Paolo Banchero,42142223,PF/F/UTIL,9100,DET@ORL 03/01/2026 06:00PM ET,ORL,42.49
PG/SF,Cooper Flagg (42142226),Cooper Flagg,42142226,PG/SF/F/G/UTIL,8900,OKC@DAL 03/01/2026 08:00PM ET,DAL,38.39
SF/PF,Deni Avdija (42142231),Deni Avdija,42142231,SF/PF/F/UTIL,8700,POR@ATL 03/01/2026 06:00PM ET,POR,44.12
PF,Chet Holmgren (42142235),Chet Holmgren,42142235,PF/F/UTIL,8600,OKC@DAL 03/01/2026 08:00PM ET,OKC,35.26
PF,LeBron James (42142238),LeBron James,42142238,PF/F/UTIL,8500,SAC@LAL 03/01/2026 09:30PM ET,LAL,40.76
PF,Zion Williamson (42142241),Zion Williamson,42142241,PF/F/UTIL,8400,NOP@LAC 03/01/2026 09:00PM ET,NOP,36.45
PG,Derrick White (42142244),Derrick White,42142244,PG/G/UTIL,8300,PHI@BOS 03/01/2026 08:00PM ET,BOS,37.10
C,Jalen Duren (42142247),Jalen Duren,42142247,C/UTIL,8200,DET@ORL 03/01/2026 06:00PM ET,DET,36.96
SF,Jalen Williams (42142249),Jalen Williams,42142249,SF/F/UTIL,8100,OKC@DAL 03/01/2026 08:00PM ET,OKC,34.16
PF,Jayson Tatum (42142256),Jayson Tatum,42142256,PF/F/UTIL,8000,PHI@BOS 03/01/2026 08:00PM ET,BOS,0
PG/SG,Trey Murphy III (42142252),Trey Murphy III,42142252,PG/SG/G/UTIL,8000,NOP@LAC 03/01/2026 09:00PM ET,NOP,39.41
C,Onyeka Okongwu (42142259),Onyeka Okongwu,42142259,C/UTIL,7900,POR@ATL 03/01/2026 06:00PM ET,ATL,35.19
PG/SG,Nickeil Alexander-Walker (42142261),Nickeil Alexander-Walker,42142261,PG/SG/G/UTIL,7800,POR@ATL 03/01/2026 06:00PM ET,ATL,34.02
SF,Franz Wagner (42142265),Franz Wagner,42142265,SF/F/UTIL,7700,DET@ORL 03/01/2026 06:00PM ET,ORL,36.56
PG/SG,Austin Reaves (42142268),Austin Reaves,42142268,PG/SG/G/UTIL,7500,SAC@LAL 03/01/2026 09:30PM ET,LAL,41.18
SG/SF,Desmond Bane (42142272),Desmond Bane,42142272,SG/SF/F/G/UTIL,7400,DET@ORL 03/01/2026 06:00PM ET,ORL,34.67
PG/SG,Payton Pritchard (42142277),Payton Pritchard,42142277,PG/SG/G/UTIL,7300,PHI@BOS 03/01/2026 08:00PM ET,BOS,33.03
