Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125485-145331,PG,Tyrese,Tyrese Maxey,Maxey,52.33428431919643,35,10400,PHI@TOR,PHI,TOR,,,,,,PG
125485-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,46.013888888888886,36,9600,UTA@CLE,CLE,UTA,,,,,,PG/SG
125485-67026,SF/SG,Jaylen,Jaylen Brown,Brown,45.19166734483507,36,9500,BOS@IND,BOS,IND,D,Back,,,,SG/SF
125485-49111,C,Joel,Joel Embiid,Embiid,39.62105198910362,19,9400,PHI@TOR,PHI,TOR,Q,Knee,,,,C
125485-84682,PF/SF,Michael,Michael Porter,Porter,41.35172245420259,29,9200,BKN@DAL,BKN,DAL,,,,,,SF/PF
125485-228113,PG/SG/SF,Cooper,Cooper Flagg,Flagg,36.85000128495066,38,8900,BKN@DAL,DAL,BKN,,,,,,PG/SG/SF
125485-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,42.515625,32,8800,UTA@CLE,UTA,CLE,,,,,,SF/PF
125485-60021,PF/C,Pascal,Pascal Siakam,Siakam,40.284211811266445,38,8700,BOS@IND,IND,BOS,,,,,,PF/C
125485-157822,PF/SF,Scottie,Scottie Barnes,Barnes,43.05384552784455,39,8600,PHI@TOR,TOR,PHI,,,,,,SF/PF
125485-188412,PG/SG,Keyonte,Keyonte George,George,39.2972972972973,37,8400,UTA@CLE,UTA,CLE,,,,,,PG/SG
125485-49675,SG/PG,Derrick,Derrick White,White,38.70540474556588,37,8300,BOS@IND,BOS,IND,,,,,,PG/SG
125485-157845,PF/C,Evan,Evan Mobley,Mobley,40.19705738740809,34,8100,UTA@CLE,CLE,UTA,,,,,,PF/C
125485-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.13157894736842,38,7900,PHI@TOR,TOR,PHI,Q,Thumb,,,,SF/PF
125485-171747,PG/SG,Andrew,Andrew Nembhard,Nembhard,32.256667073567705,30,7500,BOS@IND,IND,BOS,Q,Back,,,,PG/SG
125485-228133,SF/SG,VJ,VJ Edgecombe,Edgecombe,33.58181670217803,33,7400,PHI@TOR,PHI,TOR,,,,,,SG/SF
125485-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,32.98461601061699,39,7100,PHI@TOR,TOR,PHI,,,,,,PG/SG
125485-12341,SF/PF,Paul,Paul George,George,31.764999389648438,20,7000,PHI@TOR,PHI,TOR,Q,Knee,,,,SF/PF
125485-14498,PG,Kyrie,Kyrie Irving,Irving,40.49,50,7000,BKN@DAL,DAL,BKN,O,Knee,,,,PG
125485-110342,PG,Darius,Darius Garland,Garland,30.504165649414062,24,6900,UTA@CLE,CLE,UTA,,,,,,PG
125485-110357,SG/SF,RJ,RJ Barrett,Barrett,32.57391357421875,23,6800,PHI@TOR,TOR,PHI,O,Ankle,,,,SG/SF
125485-145335,PG/SG,Payton,Payton Pritchard,Pritchard,31.781577662417764,38,6700,BOS@IND,BOS,IND,,,,,,PG/SG
125485-55057,C,Jusuf,Jusuf Nurkic,Nurkic,31.422579857610888,31,6600,UTA@CLE,UTA,CLE,,,,,,C
125485-80821,C/PF,Jarrett,Jarrett Allen,Allen,30.621429443359375,28,6600,UTA@CLE,CLE,UTA,,,,,,PF/C
125485-110352,PF/SF,P.J.,P.J. Washington,Washington,31.686665852864582,30,6500,BKN@DAL,DAL,BKN,D,Ankle,,,,SF/PF
125485-110354,C,Nic,Nic Claxton,Claxton,33.01176542394302,34,6300,BKN@DAL,BKN,DAL,,,,,,C
125485-157838,SG,Cam,Cam Thomas,Thomas,23.926666259765625,15,6200,BKN@DAL,BKN,DAL,O,Hamstring,,,,SG
125485-145333,SF/PF,Aaron,Aaron Nesmith,Nesmith,26.642105905633223,19,6100,BOS@IND,IND,BOS,,,,,,SF/PF
125485-145819,SF/PF,Naji,Naji Marshall,Marshall,24.82307629707532,39,6000,BKN@DAL,DAL,BKN,,,,,,SF/PF
125485-228109,PG/SG,Egor,Egor Demin,Demin,21.427271987452652,33,5900,BKN@DAL,BKN,DAL,O,Foot,,,,PG/SG
125485-188431,PF,Noah,Noah Clowney,Clowney,23.825000339084202,36,5700,BKN@DAL,BKN,DAL,,,,,,PF
125485-157811,C,Neemias,Neemias Queta,Queta,27.261111789279514,36,5600,BOS@IND,BOS,IND,,,,,,C
125485-18393,PG,T.J.,T.J. McConnell,McConnell,23.444444444444443,27,5600,BOS@IND,IND,BOS,,,,,,PG
125485-228122,PF/C,Collin,Collin Murray-Boyles,Murray-Boyles,19.187879157788824,33,5500,PHI@TOR,TOR,PHI,,,,,,PF/C
125485-163978,PG,Brandon,Brandon Williams,Williams,22.773529052734375,34,5500,BKN@DAL,DAL,BKN,D,Illness,,,,PG
125485-171746,SG/SF,Bennedict,Bennedict Mathurin,Mathurin,27.76666768391927,24,5500,BOS@IND,IND,BOS,O,Thumb,,,,SG/SF
125485-157826,SG/SF,Quentin,Quentin Grimes,Grimes,27.385714285714286,35,5300,PHI@TOR,PHI,TOR,,,,,,SG/SF
125485-157846,C,Sandro,Sandro Mamukelashvili,Mamukelashvili,22.105127579126602,39,5300,PHI@TOR,TOR,PHI,,,,,,C
125485-203778,PF/C,Kyle,Kyle Filipowski,Filipowski,21.491892221811657,37,5200,UTA@CLE,UTA,CLE,,,,,,PF/C
125485-203726,PG,Isaiah,Isaiah Collier,Collier,22.20999959309896,30,5100,UTA@CLE,UTA,CLE,,,,,,PG
125485-203728,SF/SG,Jaylon,Jaylon Tyson,Tyson,25.52571498325893,35,5100,UTA@CLE,CLE,UTA,,,,,,SG/SF
125485-157839,C,Day'Ron,Day'Ron Sharpe,Sharpe,21.5028564453125,35,5000,BKN@DAL,BKN,DAL,,,,,,C
125485-110325,C,Daniel,Daniel Gafford,Gafford,21.949999128069198,28,5000,BKN@DAL,DAL,BKN,Q,Ankle,,,,C
125485-188413,SF/SG,Brice,Brice Sensabaugh,Sensabaugh,17.186487146326012,37,5000,UTA@CLE,UTA,CLE,,,,,,SG/SF
125485-145317,SF/SG,Sam,Sam Merrill,Merrill,22.495454268022016,22,4900,UTA@CLE,CLE,UTA,,,,,,SG/SF
125485-171751,SF/SG,Max,Max Christie,Christie,21.02432498416385,37,4900,BKN@DAL,DAL,BKN,,,,,,SG/SF
125485-84717,SG/PG,Anfernee,Anfernee Simons,Simons,20.51578883120888,38,4800,BOS@IND,BOS,IND,,,,,,PG/SG
125485-159097,C,Jay,Jay Huff,Huff,21.435897435897434,39,4700,BOS@IND,IND,BOS,,,,,,C
125485-58153,SG/SF,Kelly,Kelly Oubre,Oubre,27.233333333333334,15,4600,PHI@TOR,PHI,TOR,,,,,,SG/SF
125485-15557,C,Andre,Andre Drummond,Drummond,22.303030303030305,33,4600,PHI@TOR,PHI,TOR,,,,,,C
125485-58378,C,Jakob,Jakob Poeltl,Poeltl,24.471429734002974,21,4500,PHI@TOR,TOR,PHI,O,Back,,,,C
125485-228722,PG,Ryan,Ryan Nembhard,Nembhard,16.503846388596756,26,4500,BKN@DAL,DAL,BKN,,,,,,PG
125485-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,23.662857491629463,35,4400,UTA@CLE,CLE,UTA,,,,,,SF/PF
125485-228111,PF/SF,Danny,Danny Wolf,Wolf,16.94545399058949,22,4400,BKN@DAL,BKN,DAL,,,,,,SF/PF
125485-157807,C,Luka,Luka Garza,Garza,16.39333292643229,30,4400,BOS@IND,BOS,IND,,,,,,C
125485-228119,SG/SF,Ace,Ace Bailey,Bailey,18.251612509450606,31,4300,UTA@CLE,UTA,CLE,,,,,,SG/SF
125485-203798,PG/SG,Jamal,Jamal Shead,Shead,19.3625,40,4300,PHI@TOR,TOR,PHI,,,,,,PG/SG
125485-189467,PG,Craig,Craig Porter,Porter,17.8028564453125,35,4300,UTA@CLE,CLE,UTA,,,,,,PG
125485-9874,PF,Kevin,Kevin Love,Love,17.722726995294746,22,4300,UTA@CLE,UTA,CLE,,,,,,PF
