Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (42001388),Luka Doncic,42001388,PG/G/UTIL,11700,SAS@LAL 02/10/2026 10:30PM ET,LAL,60.26
SF,Kawhi Leonard (42001391),Kawhi Leonard,42001391,SF/F/UTIL,10000,LAC@HOU 02/10/2026 08:00PM ET,LAC,47.05
C,Victor Wembanyama (42001394),Victor Wembanyama,42001394,C/UTIL,9700,SAS@LAL 02/10/2026 10:30PM ET,SAS,49.37
PF/C,Alperen Sengun (42001396),Alperen Sengun,42001396,PF/C/F/UTIL,9500,LAC@HOU 02/10/2026 08:00PM ET,HOU,46.51
SG/SF,Kevin Durant (42001400),Kevin Durant,42001400,SG/SF/F/G/UTIL,9000,LAC@HOU 02/10/2026 08:00PM ET,HOU,42.38
PF,LeBron James (42001405),LeBron James,42001405,PF/F/UTIL,8900,SAS@LAL 02/10/2026 10:30PM ET,LAL,42.21
PG,Jalen Brunson (42001408),Jalen Brunson,42001408,PG/G/UTIL,8800,IND@NYK 02/10/2026 07:30PM ET,NYK,42.59
PG/SF,Cooper Flagg (42001411),Cooper Flagg,42001411,PG/SF/F/G/UTIL,8700,DAL@PHX 02/10/2026 09:00PM ET,DAL,38.43
PF,Pascal Siakam (42001416),Pascal Siakam,42001416,PF/F/UTIL,8600,IND@NYK 02/10/2026 07:30PM ET,IND,41.10
PG,Amen Thompson (42001419),Amen Thompson,42001419,PG/G/UTIL,8500,LAC@HOU 02/10/2026 08:00PM ET,HOU,38.91
C,Karl-Anthony Towns (42001422),Karl-Anthony Towns,42001422,C/UTIL,8300,IND@NYK 02/10/2026 07:30PM ET,NYK,42.36
PG/SG,Austin Reaves (42001424),Austin Reaves,42001424,PG/SG/G/UTIL,8200,SAS@LAL 02/10/2026 10:30PM ET,LAL,43.40
PG/SG,Devin Booker (42001428),Devin Booker,42001428,PG/SG/G/UTIL,8100,DAL@PHX 02/10/2026 09:00PM ET,PHX,41.42
SG/SF,Grayson Allen (42001432),Grayson Allen,42001432,SG/SF/F/G/UTIL,7600,DAL@PHX 02/10/2026 09:00PM ET,PHX,31.07
PG,Darius Garland (42001437),Darius Garland,42001437,PG/G/UTIL,7500,LAC@HOU 02/10/2026 08:00PM ET,LAC,33.18
SG,Stephon Castle (42001440),Stephon Castle,42001440,SG/G/UTIL,7400,SAS@LAL 02/10/2026 10:30PM ET,SAS,36.98
PG,Andrew Nembhard (42001443),Andrew Nembhard,42001443,PG/G/UTIL,7300,IND@NYK 02/10/2026 07:30PM ET,IND,34.20
PG,De'Aaron Fox (42001446),De'Aaron Fox,42001446,PG/G/UTIL,7200,SAS@LAL 02/10/2026 10:30PM ET,SAS,36.69
SG/SF,Josh Hart (42001449),Josh Hart,42001449,SG/SF/F/G/UTIL,7100,IND@NYK 02/10/2026 07:30PM ET,NYK,32.29
C,Ivica Zubac (42001454),Ivica Zubac,42001454,C/UTIL,7000,IND@NYK 02/10/2026 07:30PM ET,IND,33.80
PF,Jabari Smith Jr. (42001456),Jabari Smith Jr.,42001456,PF/F/UTIL,6900,LAC@HOU 02/10/2026 08:00PM ET,HOU,30.98
PG,Collin Gillespie (42001459),Collin Gillespie,42001459,PG/G/UTIL,6800,DAL@PHX 02/10/2026 09:00PM ET,PHX,29.75
PF,OG Anunoby (42001462),OG Anunoby,42001462,PF/F/UTIL,6800,IND@NYK 02/10/2026 07:30PM ET,NYK,32.33
SF,Mikal Bridges (42001465),Mikal Bridges,42001465,SF/F/UTIL,6700,IND@NYK 02/10/2026 07:30PM ET,NYK,31.94
SF,Dillon Brooks (42001468),Dillon Brooks,42001468,SF/F/UTIL,6600,DAL@PHX 02/10/2026 09:00PM ET,PHX,31.11
SG,Jalen Green (42001471),Jalen Green,42001471,SG/G/UTIL,6500,DAL@PHX 02/10/2026 09:00PM ET,PHX,18.17
SG,Tari Eason (42001474),Tari Eason,42001474,SG/G/UTIL,6400,LAC@HOU 02/10/2026 08:00PM ET,HOU,26.70
PF/C,John Collins (42001477),John Collins,42001477,PF/C/F/UTIL,6300,LAC@HOU 02/10/2026 08:00PM ET,LAC,24.85
SG/SF,Naji Marshall (42001481),Naji Marshall,42001481,SG/SF/F/G/UTIL,6200,DAL@PHX 02/10/2026 09:00PM ET,DAL,27.43
SF/PF,PJ Washington (42001486),PJ Washington,42001486,SF/PF/F/UTIL,6100,DAL@PHX 02/10/2026 09:00PM ET,DAL,30.33
C,Mark Williams (42001490),Mark Williams,42001490,C/UTIL,6000,DAL@PHX 02/10/2026 09:00PM ET,PHX,28.02
SG,Bennedict Mathurin (42001492),Bennedict Mathurin,42001492,SG/G/UTIL,5800,LAC@HOU 02/10/2026 08:00PM ET,LAC,29.37
C,Deandre Ayton (42001495),Deandre Ayton,42001495,C/UTIL,5700,SAS@LAL 02/10/2026 10:30PM ET,LAL,28.19
SF,Devin Vassell (42001497),Devin Vassell,42001497,SF/F/UTIL,5700,SAS@LAL 02/10/2026 10:30PM ET,SAS,26.06
SF/PF,Royce O'Neale (42001500),Royce O'Neale,42001500,SF/PF/F/UTIL,5600,DAL@PHX 02/10/2026 09:00PM ET,PHX,24.43
PF,Julian Champagnie (42001508),Julian Champagnie,42001508,PF/F/UTIL,5500,SAS@LAL 02/10/2026 10:30PM ET,SAS,24.16
SF/PF,Jarace Walker (42001504),Jarace Walker,42001504,SF/PF/F/UTIL,5500,IND@NYK 02/10/2026 07:30PM ET,IND,21.02
PG/SG,Reed Sheppard (42001511),Reed Sheppard,42001511,PG/SG/G/UTIL,5400,LAC@HOU 02/10/2026 08:00PM ET,HOU,24.61
SF,Aaron Nesmith (42001515),Aaron Nesmith,42001515,SF/F/UTIL,5400,IND@NYK 02/10/2026 07:30PM ET,IND,25.63
SF/PF,Keldon Johnson (42001518),Keldon Johnson,42001518,SF/PF/F/UTIL,5300,SAS@LAL 02/10/2026 10:30PM ET,SAS,24.64
PG/SG,Miles McBride (42001522),Miles McBride,42001522,PG/SG/G/UTIL,5300,IND@NYK 02/10/2026 07:30PM ET,NYK,23.44
SG,Max Christie (42001530),Max Christie,42001530,SG/G/UTIL,5200,DAL@PHX 02/10/2026 09:00PM ET,DAL,23.36
PF/C,Jay Huff (42001526),Jay Huff,42001526,PF/C/F/UTIL,5200,IND@NYK 02/10/2026 07:30PM ET,IND,20.52
PG,Kris Dunn (42001533),Kris Dunn,42001533,PG/G/UTIL,5100,LAC@HOU 02/10/2026 08:00PM ET,LAC,19.49
SG/SF,Jordan Goodwin (42001536),Jordan Goodwin,42001536,SG/SF/F/G/UTIL,5100,DAL@PHX 02/10/2026 09:00PM ET,PHX,21.74
PF,Khris Middleton (42001541),Khris Middleton,42001541,PF/F/UTIL,5100,DAL@PHX 02/10/2026 09:00PM ET,DAL,21.94
PG/SG,Brandon Williams (42001544),Brandon Williams,42001544,PG/SG/G/UTIL,5000,DAL@PHX 02/10/2026 09:00PM ET,DAL,23.58
