Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (42107799),Luka Doncic,42107799,PG/G/UTIL,11400,LAL@PHX 02/26/2026 09:00PM ET,LAL,58.88
C,Victor Wembanyama (42107802),Victor Wembanyama,42107802,C/UTIL,10900,SAS@BKN 02/26/2026 07:30PM ET,SAS,49.13
PF,Jalen Johnson (42107804),Jalen Johnson,42107804,PF/F/UTIL,10800,WAS@ATL 02/26/2026 07:30PM ET,ATL,51.04
PG,Tyrese Maxey (42107807),Tyrese Maxey,42107807,PG/G/UTIL,10000,MIA@PHI 02/26/2026 07:00PM ET,PHI,48.98
C,Joel Embiid (42107810),Joel Embiid,42107810,C/UTIL,9500,MIA@PHI 02/26/2026 07:00PM ET,PHI,44.81
PF/C,Alperen Sengun (42107812),Alperen Sengun,42107812,PF/C/F/UTIL,9400,HOU@ORL 02/26/2026 07:30PM ET,HOU,44.71
PF,Paolo Banchero (42107816),Paolo Banchero,42107816,PF/F/UTIL,9200,HOU@ORL 02/26/2026 07:30PM ET,ORL,42.40
SF,Kevin Durant (42107819),Kevin Durant,42107819,SF/F/UTIL,8900,HOU@ORL 02/26/2026 07:30PM ET,HOU,41.5
PG,LaMelo Ball (42107822),LaMelo Ball,42107822,PG/G/UTIL,8900,CHA@IND 02/26/2026 07:00PM ET,CHA,39.57
SF/PF,Deni Avdija (42107829),Deni Avdija,42107829,SF/PF/F/UTIL,8700,POR@CHI 02/26/2026 08:00PM ET,POR,44.12
PG/SF,Cooper Flagg (42107833),Cooper Flagg,42107833,PG/SF/F/G/UTIL,8700,SAC@DAL 02/26/2026 08:30PM ET,DAL,38.39
PF/C,Pascal Siakam (42107825),Pascal Siakam,42107825,PF/C/F/UTIL,8700,CHA@IND 02/26/2026 07:00PM ET,IND,40.12
PG,Trae Young (42107841),Trae Young,42107841,PG/G/UTIL,8500,WAS@ATL 02/26/2026 07:30PM ET,WAS,36.78
SF,Michael Porter Jr. (42107838),Michael Porter Jr.,42107838,SF/F/UTIL,8500,SAS@BKN 02/26/2026 07:30PM ET,BKN,41.52
PG/SG,Devin Booker (42107846),Devin Booker,42107846,PG/SG/G/UTIL,8400,LAL@PHX 02/26/2026 09:00PM ET,PHX,39.26
C,Bam Adebayo (42107844),Bam Adebayo,42107844,C/UTIL,8400,MIA@PHI 02/26/2026 07:00PM ET,MIA,38.72
