Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (42122522),Nikola Jokic,42122522,C/UTIL,12300,DEN@OKC 02/27/2026 09:30PM ET,DEN,64.85
PF,Giannis Antetokounmpo (42122524),Giannis Antetokounmpo,42122524,PF/F/UTIL,11100,NYK@MIL 02/27/2026 08:00PM ET,MIL,51.61
PG,Cade Cunningham (42122527),Cade Cunningham,42122527,PG/G/UTIL,11000,CLE@DET 02/27/2026 07:00PM ET,DET,51.24
PG,Shai Gilgeous-Alexander (42122530),Shai Gilgeous-Alexander,42122530,PG/G/UTIL,10700,DEN@OKC 02/27/2026 09:30PM ET,OKC,51.12
SG/SF,Jaylen Brown (42122533),Jaylen Brown,42122533,SG/SF/F/G/UTIL,9800,BKN@BOS 02/27/2026 07:30PM ET,BOS,46.57
SG,Donovan Mitchell (42122538),Donovan Mitchell,42122538,SG/G/UTIL,9700,CLE@DET 02/27/2026 07:00PM ET,CLE,45.43
PG,James Harden (42122541),James Harden,42122541,PG/G/UTIL,9400,CLE@DET 02/27/2026 07:00PM ET,CLE,46.26
PG,Jalen Brunson (42122544),Jalen Brunson,42122544,PG/G/UTIL,9000,NYK@MIL 02/27/2026 08:00PM ET,NYK,41.10
PG/SF,Cooper Flagg (42122547),Cooper Flagg,42122547,PG/SF/F/G/UTIL,8900,MEM@DAL 02/27/2026 08:30PM ET,DAL,38.39
SF,Michael Porter Jr. (42122552),Michael Porter Jr.,42122552,SF/F/UTIL,8800,BKN@BOS 02/27/2026 07:30PM ET,BKN,41.57
PG,Jamal Murray (42122555),Jamal Murray,42122555,PG/G/UTIL,8700,DEN@OKC 02/27/2026 09:30PM ET,DEN,43.89
PG/SG,Kevin Porter Jr. (42122561),Kevin Porter Jr.,42122561,PG/SG/G/UTIL,8600,NYK@MIL 02/27/2026 08:00PM ET,MIL,41.24
PF,Chet Holmgren (42122558),Chet Holmgren,42122558,PF/F/UTIL,8600,DEN@OKC 02/27/2026 09:30PM ET,OKC,34.88
C,Karl-Anthony Towns (42122565),Karl-Anthony Towns,42122565,C/UTIL,8500,NYK@MIL 02/27/2026 08:00PM ET,NYK,41.29
PG,Ja Morant (42122567),Ja Morant,42122567,PG/G/UTIL,8400,MEM@DAL 02/27/2026 08:30PM ET,MEM,37.51
PF/C,Evan Mobley (42122570),Evan Mobley,42122570,PF/C/F/UTIL,8300,CLE@DET 02/27/2026 07:00PM ET,CLE,39.62
PG,Derrick White (42122574),Derrick White,42122574,PG/G/UTIL,8200,BKN@BOS 02/27/2026 07:30PM ET,BOS,37.16
PG,Ryan Rollins (42122577),Ryan Rollins,42122577,PG/G/UTIL,8100,NYK@MIL 02/27/2026 08:00PM ET,MIL,35.02
SF,Jalen Williams (42122580),Jalen Williams,42122580,SF/F/UTIL,8100,DEN@OKC 02/27/2026 09:30PM ET,OKC,34.16
C,Jalen Duren (42122583),Jalen Duren,42122583,C/UTIL,7900,CLE@DET 02/27/2026 07:00PM ET,DET,36.34
C,Jarrett Allen (42122585),Jarrett Allen,42122585,C/UTIL,7800,CLE@DET 02/27/2026 07:00PM ET,CLE,32.43
