Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,Roster Position,
126408-145323,SG/PG,Tre,Tre Jones,Jones,27.8315783,38,5900,CHI@TOR,CHI,TOR,O,Hamstring,,,,PG/SG
126408-84676,C,Wendell,Wendell Carter,Carter,27.01914946,47,4800,BKN@ORL,ORL,BKN,,,,,,C
126408-145819,SF/PF,Naji,Naji Marshall,Marshall,26.86122349,49,6600,SA@DAL,DAL,SA,,,,,,SF/PF
126408-171769,SF/PF,Tari,Tari Eason,Eason,25.67142814,28,6600,CHA@HOU,HOU,CHA,Q,Lower leg,,,,SF/PF
126408-145324,SF/SG,Devin,Devin Vassell,Vassell,25.3702706,37,4800,SA@DAL,SA,DAL,,,,,,SG/SF
126408-171765,C,Moussa,Moussa Diabate,Diabate,25.07659523,47,5500,CHA@HOU,CHA,HOU,,,,,,C
126408-14518,PF/SF,Tobias,Tobias Harris,Harris,24.92941105,34,5500,WAS@DET,DET,WAS,Q,Hip,,,,SF/PF
126408-203713,PG/SG,Reed,Reed Sheppard,Sheppard,24.65918467,49,5600,CHA@HOU,HOU,CHA,,,,,,PG/SG
126408-188416,SF/PF,Bilal,Bilal Coulibaly,Coulibaly,24.54666748,30,5200,WAS@DET,WAS,DET,,,,,,SF/PF
126408-203726,PG,Isaiah,Isaiah Collier,Collier,24.47674419,43,7400,UTA@ATL,UTA,ATL,,,,,,PG
126408-58378,C,Jakob,Jakob Poeltl,Poeltl,24.47142973,21,4300,CHI@TOR,TOR,CHI,O,Back,,,,C
126408-110347,SF/PF,Keldon,Keldon Johnson,Johnson,24.43199951,50,4600,SA@DAL,SA,DAL,,,,,,SF/PF
126408-188431,PF,Noah,Noah Clowney,Clowney,23.71363692,44,5000,BKN@ORL,BKN,ORL,,,,,,PF
126408-158137,C,Jock,Jock Landale,Landale,23.70888943,45,3900,UTA@ATL,ATL,UTA,,,,,,C
126408-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,23.5755561,45,5000,WAS@DET,DET,WAS,,,,,,PF/C
126408-172098,SG/SF,Julian,Julian Champagnie,Champagnie,23.52600098,50,4900,SA@DAL,SA,DAL,,,,,,SG/SF
126408-157846,C,Sandro,Sandro Mamukelashvili,Mamukelashvili,23.43199951,50,5200,CHI@TOR,TOR,CHI,,,,,,C
126408-41083,C,Luke,Luke Kornet,Kornet,23.37073201,41,4400,SA@DAL,SA,DAL,O,Ankle,,,,C
126408-163978,PG,Brandon,Brandon Williams,Williams,23.3162785,43,5400,SA@DAL,DAL,SA,Q,Lower leg,,,,PG
126408-84667,SG/PG,Collin,Collin Sexton,Sexton,23.03571429,42,4600,CHI@TOR,CHI,TOR,Q,Not injury related,,,,PG/SG
