Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF,Naji Marshall (42123571),Naji Marshall,42123571,SF/F/UTIL,6300,MEM@DAL 02/27/2026 08:30PM ET,DAL,28.44
PF,Khris Middleton (42123513),Khris Middleton,42123513,PF/F/UTIL,5600,MEM@DAL 02/27/2026 08:30PM ET,DAL,22.53
PG/SG,Brandon Williams (42123594),Brandon Williams,42123594,PG/SG/G/UTIL,5500,MEM@DAL 02/27/2026 08:30PM ET,DAL,24.02
SG,Max Christie (42123689),Max Christie,42123689,SG/G/UTIL,4800,MEM@DAL 02/27/2026 08:30PM ET,DAL,23.19
C,Daniel Gafford (42123574),Daniel Gafford,42123574,C/UTIL,4400,MEM@DAL 02/27/2026 08:30PM ET,DAL,21.3
C,Nikola Jokic (42123540),Nikola Jokic,42123540,C/UTIL,12300,DEN@OKC 02/27/2026 09:30PM ET,DEN,64.85
PG,Jamal Murray (42123557),Jamal Murray,42123557,PG/G/UTIL,8700,DEN@OKC 02/27/2026 09:30PM ET,DEN,43.89
SF,Peyton Watson (42123672),Peyton Watson,42123672,SF/F/UTIL,7000,DEN@OKC 02/27/2026 09:30PM ET,DEN,28.34
SG,Christian Braun (42123608),Christian Braun,42123608,SG/G/UTIL,5300,DEN@OKC 02/27/2026 09:30PM ET,DEN,21.72
PF,Gregory Jackson (42123700),Gregory Jackson,42123700,PF/F/UTIL,6000,MEM@DAL 02/27/2026 08:30PM ET,MEM,19.97
PG,Scotty Pippen Jr. (42123614),Scotty Pippen Jr.,42123614,PG/G/UTIL,5200,MEM@DAL 02/27/2026 08:30PM ET,MEM,25.54
SF,Jaylen Wells (42123712),Jaylen Wells,42123712,SF/F/UTIL,4900,MEM@DAL 02/27/2026 08:30PM ET,MEM,21.27
PF/C,Olivier-Maxence Prosper (42123642),Olivier-Maxence Prosper,42123642,PF/C/F/UTIL,4800,MEM@DAL 02/27/2026 08:30PM ET,MEM,13.33
PG/SG,Javon Small (42123661),Javon Small,42123661,PG/SG/G/UTIL,4700,MEM@DAL 02/27/2026 08:30PM ET,MEM,17.57
PG,Shai Gilgeous-Alexander (42123579),Shai Gilgeous-Alexander,42123579,PG/G/UTIL,10700,DEN@OKC 02/27/2026 09:30PM ET,OKC,51.12
PF,Chet Holmgren (42123692),Chet Holmgren,42123692,PF/F/UTIL,8600,DEN@OKC 02/27/2026 09:30PM ET,OKC,34.88
SG/SF,Cason Wallace (42123707),Cason Wallace,42123707,SG/SF/F/G/UTIL,6700,DEN@OKC 02/27/2026 09:30PM ET,OKC,21.58
SG,Isaiah Joe (42123591),Isaiah Joe,42123591,SG/G/UTIL,5600,DEN@OKC 02/27/2026 09:30PM ET,OKC,19.04
SG,Luguentz Dort (42123598),Luguentz Dort,42123598,SG/G/UTIL,4500,DEN@OKC 02/27/2026 09:30PM ET,OKC,18.74
