Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Giannis Antetokounmpo (41846869),Giannis Antetokounmpo,41846869,PF/F/UTIL,11000,IND@MIL 02/06/2026 08:00PM ET,MIL,51.61
PG,Cade Cunningham (41846872),Cade Cunningham,41846872,PG/G/UTIL,10200,NYK@DET 02/06/2026 07:30PM ET,DET,51.84
SF,Jaylen Brown (41846875),Jaylen Brown,41846875,SF/F/UTIL,9700,MIA@BOS 02/06/2026 07:30PM ET,BOS,48.00
SG,Anthony Edwards (41846878),Anthony Edwards,41846878,SG/G/UTIL,9500,NOP@MIN 02/06/2026 08:00PM ET,MIN,46.55
PG,Jalen Brunson (41846881),Jalen Brunson,41846881,PG/G/UTIL,8900,NYK@DET 02/06/2026 07:30PM ET,NYK,42.82
PF/C,Pascal Siakam (41846884),Pascal Siakam,41846884,PF/C/F/UTIL,8800,IND@MIL 02/06/2026 08:00PM ET,IND,41.54
C,Bam Adebayo (41846888),Bam Adebayo,41846888,C/UTIL,8700,MIA@BOS 02/06/2026 07:30PM ET,MIA,38.49
PG,Ryan Rollins (41846890),Ryan Rollins,41846890,PG/G/UTIL,8500,IND@MIL 02/06/2026 08:00PM ET,MIL,34.75
C,Karl-Anthony Towns (41846893),Karl-Anthony Towns,41846893,C/UTIL,8400,NYK@DET 02/06/2026 07:30PM ET,NYK,42.67
PG,Trey Murphy III (41846895),Trey Murphy III,41846895,PG/G/UTIL,8300,NOP@MIN 02/06/2026 08:00PM ET,NOP,39.44
PG/SG,Derrick White (41846898),Derrick White,41846898,PG/SG/G/UTIL,8200,MIA@BOS 02/06/2026 07:30PM ET,BOS,36.88
PF,Julius Randle (41846902),Julius Randle,41846902,PF/F/UTIL,8100,NOP@MIN 02/06/2026 08:00PM ET,MIN,41.49
PF,Zion Williamson (41846905),Zion Williamson,41846905,PF/F/UTIL,8000,NOP@MIN 02/06/2026 08:00PM ET,NOP,36.91
C,Jalen Duren (41846908),Jalen Duren,41846908,C/UTIL,7900,NYK@DET 02/06/2026 07:30PM ET,DET,36.78
PF/C,Bobby Portis (41846910),Bobby Portis,41846910,PF/C/F/UTIL,7700,IND@MIL 02/06/2026 08:00PM ET,MIL,26.21
C,Nikola Vucevic (41846914),Nikola Vucevic,41846914,C/UTIL,7600,MIA@BOS 02/06/2026 07:30PM ET,BOS,37.11
PG,Kevin Porter Jr. (41846916),Kevin Porter Jr.,41846916,PG/G/UTIL,7500,IND@MIL 02/06/2026 08:00PM ET,MIL,39.42
PG/SG,Tyler Herro (41846919),Tyler Herro,41846919,PG/SG/G/UTIL,7400,MIA@BOS 02/06/2026 07:30PM ET,MIA,35.14
PG,Andrew Nembhard (41846923),Andrew Nembhard,41846923,PG/G/UTIL,7300,IND@MIL 02/06/2026 08:00PM ET,IND,34.45
PG,Payton Pritchard (41846926),Payton Pritchard,41846926,PG/G/UTIL,7200,MIA@BOS 02/06/2026 07:30PM ET,BOS,32.96
SG/SF,Josh Hart (41846929),Josh Hart,41846929,SG/SF/F/G/UTIL,7100,NYK@DET 02/06/2026 07:30PM ET,NYK,32.72
SG/SF,Norman Powell (41846938),Norman Powell,41846938,SG/SF/F/G/UTIL,7000,MIA@BOS 02/06/2026 07:30PM ET,MIA,34.73
SF/PF,Kyle Kuzma (41846934),Kyle Kuzma,41846934,SF/PF/F/UTIL,7000,IND@MIL 02/06/2026 08:00PM ET,MIL,25.18
PF,OG Anunoby (41846945),OG Anunoby,41846945,PF/F/UTIL,6900,NYK@DET 02/06/2026 07:30PM ET,NYK,32.33
C,Ivica Zubac (41846943),Ivica Zubac,41846943,C/UTIL,6900,IND@MIL 02/06/2026 08:00PM ET,IND,33.80
SF/PF,Saddiq Bey (41846948),Saddiq Bey,41846948,SF/PF/F/UTIL,6800,NOP@MIN 02/06/2026 08:00PM ET,NOP,30.04
SF/PF,Jaime Jaquez Jr. (41846952),Jaime Jaquez Jr.,41846952,SF/PF/F/UTIL,6700,MIA@BOS 02/06/2026 07:30PM ET,MIA,30.64
SF,Mikal Bridges (41846956),Mikal Bridges,41846956,SF/F/UTIL,6600,NYK@DET 02/06/2026 07:30PM ET,NYK,32.27
C,Rudy Gobert (41846959),Rudy Gobert,41846959,C/UTIL,6500,NOP@MIN 02/06/2026 08:00PM ET,MIN,32.22
C,Myles Turner (41846964),Myles Turner,41846964,C/UTIL,6400,IND@MIL 02/06/2026 08:00PM ET,MIL,27.53
SF,Jaden McDaniels (41846961),Jaden McDaniels,41846961,SF/F/UTIL,6400,NOP@MIN 02/06/2026 08:00PM ET,MIN,28.74
C,Derik Queen (41846966),Derik Queen,41846966,C/UTIL,6300,NOP@MIN 02/06/2026 08:00PM ET,NOP,30.93
PF/C,Naz Reid (41846968),Naz Reid,41846968,PF/C/F/UTIL,6300,NOP@MIN 02/06/2026 08:00PM ET,MIN,30.82
PG,Donte DiVincenzo (41846972),Donte DiVincenzo,41846972,PG/G/UTIL,6200,NOP@MIN 02/06/2026 08:00PM ET,MIN,29.99
SG/SF,Ayo Dosunmu (41846975),Ayo Dosunmu,41846975,SG/SF/F/G/UTIL,6100,NOP@MIN 02/06/2026 08:00PM ET,MIN,26.62
PF,Andrew Wiggins (41846980),Andrew Wiggins,41846980,PF/F/UTIL,6000,MIA@BOS 02/06/2026 07:30PM ET,MIA,30.39
PG,Dejounte Murray (41846983),Dejounte Murray,41846983,PG/G/UTIL,6000,NOP@MIN 02/06/2026 08:00PM ET,NOP,0
C,Neemias Queta (41846986),Neemias Queta,41846986,C/UTIL,5900,MIA@BOS 02/06/2026 07:30PM ET,BOS,27.10
SF,Ausar Thompson (41846988),Ausar Thompson,41846988,SF/F/UTIL,5800,NYK@DET 02/06/2026 07:30PM ET,DET,27.09
SF/PF,Jarace Walker (41846991),Jarace Walker,41846991,SF/PF/F/UTIL,5700,IND@MIL 02/06/2026 08:00PM ET,IND,20.75
SF,Aaron Nesmith (41846995),Aaron Nesmith,41846995,SF/F/UTIL,5600,IND@MIL 02/06/2026 08:00PM ET,IND,26.33
SG/SF,Pelle Larsson (41846998),Pelle Larsson,41846998,SG/SF/F/G/UTIL,5500,MIA@BOS 02/06/2026 07:30PM ET,MIA,21.24
PG/SG,Miles McBride (41847003),Miles McBride,41847003,PG/SG/G/UTIL,5300,NYK@DET 02/06/2026 07:30PM ET,NYK,23.44
PF,Tobias Harris (41847007),Tobias Harris,41847007,PF/F/UTIL,5200,NYK@DET 02/06/2026 07:30PM ET,DET,25.32
SF/PF,Sam Hauser (41847010),Sam Hauser,41847010,SF/PF/F/UTIL,5100,MIA@BOS 02/06/2026 07:30PM ET,BOS,18.91
PG,Davion Mitchell (41847014),Davion Mitchell,41847014,PG/G/UTIL,5000,MIA@BOS 02/06/2026 07:30PM ET,MIA,25.55
PF/C,Isaiah Stewart (41847017),Isaiah Stewart,41847017,PF/C/F/UTIL,4900,NYK@DET 02/06/2026 07:30PM ET,DET,22.39
PG/SG,AJ Green (41847021),AJ Green,41847021,PG/SG/G/UTIL,4900,IND@MIL 02/06/2026 08:00PM ET,MIL,19.12
PF/C,Jay Huff (41847025),Jay Huff,41847025,PF/C/F/UTIL,4800,IND@MIL 02/06/2026 08:00PM ET,IND,20.30
SG/SF,Herbert Jones (41847029),Herbert Jones,41847029,SG/SF/F/G/UTIL,4800,NOP@MIN 02/06/2026 08:00PM ET,NOP,21.55
C,Kel'el Ware (41847034),Kel'el Ware,41847034,C/UTIL,4700,MIA@BOS 02/06/2026 07:30PM ET,MIA,27.98
SG,Duncan Robinson (41847036),Duncan Robinson,41847036,SG/G/UTIL,4700,NYK@DET 02/06/2026 07:30PM ET,DET,21.28
PF,Simone Fontecchio (41847039),Simone Fontecchio,41847039,PF/F/UTIL,4600,MIA@BOS 02/06/2026 07:30PM ET,MIA,16.80
PG/SG,Bones Hyland (41847042),Bones Hyland,41847042,PG/SG/G/UTIL,4600,NOP@MIN 02/06/2026 08:00PM ET,MIN,14.72
SG/SF,Kevin Huerter (41847046),Kevin Huerter,41847046,SG/SF/F/G/UTIL,4500,NYK@DET 02/06/2026 07:30PM ET,DET,22.29
C,Luka Garza (41847051),Luka Garza,41847051,C/UTIL,4400,MIA@BOS 02/06/2026 07:30PM ET,BOS,17.20
SF,Johnny Furphy (41847053),Johnny Furphy,41847053,SF/F/UTIL,4400,IND@MIL 02/06/2026 08:00PM ET,IND,13.83
C,Mitchell Robinson (41847056),Mitchell Robinson,41847056,C/UTIL,4300,NYK@DET 02/06/2026 07:30PM ET,NYK,21.76
SG/SF,Landry Shamet (41847058),Landry Shamet,41847058,SG/SF/F/G/UTIL,4300,NYK@DET 02/06/2026 07:30PM ET,NYK,16.27
PG,Dru Smith (41847063),Dru Smith,41847063,PG/G/UTIL,4200,MIA@BOS 02/06/2026 07:30PM ET,MIA,17.43
SG/SF,Caris LeVert (41847068),Caris LeVert,41847068,SG/SF/F/G/UTIL,4200,NYK@DET 02/06/2026 07:30PM ET,DET,17.33
C,Yves Missi (41847066),Yves Missi,41847066,C/UTIL,4200,NOP@MIN 02/06/2026 08:00PM ET,NOP,17.69
PF/C,Nikola Jovic (41847076),Nikola Jovic,41847076,PF/C/F/UTIL,4100,MIA@BOS 02/06/2026 07:30PM ET,MIA,18.05
PF,Ronald Holland II (41847073),Ronald Holland II,41847073,PF/F/UTIL,4100,NYK@DET 02/06/2026 07:30PM ET,DET,18.80
C,Paul Reed (41847083),Paul Reed,41847083,C/UTIL,4100,NYK@DET 02/06/2026 07:30PM ET,DET,14.95
PG,T.J. McConnell (41847080),T.J. McConnell,41847080,PG/G/UTIL,4100,IND@MIL 02/06/2026 08:00PM ET,IND,21.74
SG/SF,Baylor Scheierman (41847085),Baylor Scheierman,41847085,SG/SF/F/G/UTIL,4000,MIA@BOS 02/06/2026 07:30PM ET,BOS,9.42
PG,Daniss Jenkins (41847090),Daniss Jenkins,41847090,PG/G/UTIL,4000,NYK@DET 02/06/2026 07:30PM ET,DET,17.15
PG/SG,Kam Jones (41847093),Kam Jones,41847093,PG/SG/G/UTIL,4000,IND@MIL 02/06/2026 08:00PM ET,IND,6.12
PG,Kasparas Jakucionis (41847097),Kasparas Jakucionis,41847097,PG/G/UTIL,3900,MIA@BOS 02/06/2026 07:30PM ET,MIA,11.97
SG/SF,Myron Gardner (41847100),Myron Gardner,41847100,SG/SF/F/G/UTIL,3900,MIA@BOS 02/06/2026 07:30PM ET,MIA,10.39
SG/SF,Hugo Gonzalez (41847109),Hugo Gonzalez,41847109,SG/SF/F/G/UTIL,3800,MIA@BOS 02/06/2026 07:30PM ET,BOS,10.86
SG/SF,Gary Trent Jr. (41847114),Gary Trent Jr.,41847114,SG/SF/F/G/UTIL,3800,IND@MIL 02/06/2026 08:00PM ET,MIL,14.23
PG/SG,Quenton Jackson (41847119),Quenton Jackson,41847119,PG/SG/G/UTIL,3800,IND@MIL 02/06/2026 08:00PM ET,IND,14.54
PG/SG,Jeremiah Fears (41847105),Jeremiah Fears,41847105,PG/SG/G/UTIL,3800,NOP@MIN 02/06/2026 08:00PM ET,NOP,24.78
PG,Marcus Sasser (41847133),Marcus Sasser,41847133,PG/G/UTIL,3700,NYK@DET 02/06/2026 07:30PM ET,DET,12.28
SG/SF,Gary Harris (41847128),Gary Harris,41847128,SG/SF/F/G/UTIL,3700,IND@MIL 02/06/2026 08:00PM ET,MIL,7.73
SG/SF,Dalen Terry (41847123),Dalen Terry,41847123,SG/SF/F/G/UTIL,3700,NOP@MIN 02/06/2026 08:00PM ET,NOP,9.63
PF,Jordan Walsh (41847141),Jordan Walsh,41847141,PF/F/UTIL,3600,MIA@BOS 02/06/2026 07:30PM ET,BOS,14.73
SG/SF,Javonte Green (41847136),Javonte Green,41847136,SG/SF/F/G/UTIL,3600,NYK@DET 02/06/2026 07:30PM ET,DET,15.27
SG,Ben Sheppard (41847144),Ben Sheppard,41847144,SG/G/UTIL,3600,IND@MIL 02/06/2026 08:00PM ET,IND,14.16
C,Pete Nance (41847147),Pete Nance,41847147,C/UTIL,3600,IND@MIL 02/06/2026 08:00PM ET,MIL,9.62
SF/PF,Ron Harper Jr. (41847154),Ron Harper Jr.,41847154,SF/PF/F/UTIL,3500,MIA@BOS 02/06/2026 07:30PM ET,BOS,7.97
SG/SF,Jordan Clarkson (41847149),Jordan Clarkson,41847149,SG/SF/F/G/UTIL,3500,NYK@DET 02/06/2026 07:30PM ET,NYK,15.00
PG,Tyler Kolek (41847158),Tyler Kolek,41847158,PG/G/UTIL,3400,NYK@DET 02/06/2026 07:30PM ET,NYK,13.17
C,Jericho Sims (41847164),Jericho Sims,41847164,C/UTIL,3400,IND@MIL 02/06/2026 08:00PM ET,MIL,9.05
PG/SG,Ethan Thompson (41847166),Ethan Thompson,41847166,PG/SG/G/UTIL,3400,IND@MIL 02/06/2026 08:00PM ET,IND,10.34
SF/PF,Julian Phillips (41847170),Julian Phillips,41847170,SF/PF/F/UTIL,3400,NOP@MIN 02/06/2026 08:00PM ET,MIN,6.14
C,Amari Williams (41847181),Amari Williams,41847181,C/UTIL,3300,MIA@BOS 02/06/2026 07:30PM ET,BOS,6.44
PG,Jose Alvarado (41847161),Jose Alvarado,41847161,PG/G/UTIL,3300,NYK@DET 02/06/2026 07:30PM ET,NYK,18.34
PF,Mohamed Diawara (41847174),Mohamed Diawara,41847174,PF/F/UTIL,3300,NYK@DET 02/06/2026 07:30PM ET,NYK,4.93
PF/C,Micah Potter (41847177),Micah Potter,41847177,PF/C/F/UTIL,3300,IND@MIL 02/06/2026 08:00PM ET,IND,15.22
SG,Taelon Peter (41847187),Taelon Peter,41847187,SG/G/UTIL,3200,IND@MIL 02/06/2026 08:00PM ET,IND,5.35
PF,Ousmane Dieng (41847214),Ousmane Dieng,41847214,PF/F/UTIL,3200,IND@MIL 02/06/2026 08:00PM ET,MIL,8.06
PG/SG,Jordan Poole (41847183),Jordan Poole,41847183,PG/SG/G/UTIL,3200,NOP@MIN 02/06/2026 08:00PM ET,NOP,23.70
SG/SF,Jaylen Clark (41847190),Jaylen Clark,41847190,SG/SF/F/G/UTIL,3100,NOP@MIN 02/06/2026 08:00PM ET,MIN,8.92
SF/PF,Micah Peavy (41847195),Micah Peavy,41847195,SF/PF/F/UTIL,3100,NOP@MIN 02/06/2026 08:00PM ET,NOP,10.53
PF/C,Karlo Matkovic (41847199),Karlo Matkovic,41847199,PF/C/F/UTIL,3100,NOP@MIN 02/06/2026 08:00PM ET,NOP,12.09
SF/PF,Keshad Johnson (41847232),Keshad Johnson,41847232,SF/PF/F/UTIL,3000,MIA@BOS 02/06/2026 07:30PM ET,MIA,6.49
C,Xavier Tillman (41847260),Xavier Tillman,41847260,C/UTIL,3000,MIA@BOS 02/06/2026 07:30PM ET,BOS,6.05
PG,Jahmir Young (41847273),Jahmir Young,41847273,PG/G/UTIL,3000,MIA@BOS 02/06/2026 07:30PM ET,MIA,4.25
C,Vladislav Goldin (41847291),Vladislav Goldin,41847291,C/UTIL,3000,MIA@BOS 02/06/2026 07:30PM ET,MIA,5.12
PG/SG,Max Shulga (41847295),Max Shulga,41847295,PG/SG/G/UTIL,3000,MIA@BOS 02/06/2026 07:30PM ET,BOS,0
PF,Jayson Tatum (41847309),Jayson Tatum,41847309,PF/F/UTIL,3000,MIA@BOS 02/06/2026 07:30PM ET,BOS,0
C,Ariel Hukporti (41847203),Ariel Hukporti,41847203,C/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,NYK,7.17
SG/SF,Chaz Lanier (41847241),Chaz Lanier,41847241,SG/SF/F/G/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,DET,6.12
SG/SF,Pacome Dadiet (41847246),Pacome Dadiet,41847246,SG/SF/F/G/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,NYK,2.10
PF,Kevin McCullar Jr. (41847262),Kevin McCullar Jr.,41847262,PF/F/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,NYK,6.67
PF,Bobi Klintman (41847268),Bobi Klintman,41847268,PF/F/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,DET,5.91
C,Trey Jemison (41847271),Trey Jemison,41847271,C/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,NYK,3.69
C,Tolu Smith (41847276),Tolu Smith,41847276,C/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,DET,15.8
SF,Wendell Moore Jr. (41847282),Wendell Moore Jr.,41847282,SF/F/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,DET,6.56
C,Dillon Jones (41847289),Dillon Jones,41847289,C/UTIL,3000,NYK@DET 02/06/2026 07:30PM ET,NYK,3.58
PF/C,Kobe Brown (41847210),Kobe Brown,41847210,PF/C/F/UTIL,3000,IND@MIL 02/06/2026 08:00PM ET,IND,6.70
PF,Nigel Hayes-Davis (41847220),Nigel Hayes-Davis,41847220,PF/F/UTIL,3000,IND@MIL 02/06/2026 08:00PM ET,MIL,3.81
PF,Andre Jackson Jr. (41847223),Andre Jackson Jr.,41847223,PF/F/UTIL,3000,IND@MIL 02/06/2026 08:00PM ET,MIL,4.65
PF/C,Thanasis Antetokounmpo (41847251),Thanasis Antetokounmpo,41847251,PF/C/F/UTIL,3000,IND@MIL 02/06/2026 08:00PM ET,MIL,3.16
SF,Taurean Prince (41847265),Taurean Prince,41847265,SF/F/UTIL,3000,IND@MIL 02/06/2026 08:00PM ET,MIL,12.09
PF/C,Obi Toppin (41847285),Obi Toppin,41847285,PF/C/F/UTIL,3000,IND@MIL 02/06/2026 08:00PM ET,IND,26.33
SF,Alex Antetokounmpo (41847301),Alex Antetokounmpo,41847301,SF/F/UTIL,3000,IND@MIL 02/06/2026 08:00PM ET,MIL,0
PG,Tyrese Haliburton (41847312),Tyrese Haliburton,41847312,PG/G/UTIL,3000,IND@MIL 02/06/2026 08:00PM ET,IND,0
SG/SF,Jordan Hawkins (41847205),Jordan Hawkins,41847205,SG/SF/F/G/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,NOP,8.56
SF,Bryce McGowens (41847217),Bryce McGowens,41847217,SF/F/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,NOP,13.66
C,Joan Beringer (41847226),Joan Beringer,41847226,C/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,MIN,7.02
SF/PF,Terrence Shannon Jr. (41847228),Terrence Shannon Jr.,41847228,SF/PF/F/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,MIN,7.82
SG/SF,Johnny Juzang (41847236),Johnny Juzang,41847236,SG/SF/F/G/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,MIN,3.65
SF,Joe Ingles (41847255),Joe Ingles,41847255,SF/F/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,MIN,2.81
C,Kevon Looney (41847258),Kevon Looney,41847258,C/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,NOP,12.75
PG/SG,Trey Alexander (41847278),Trey Alexander,41847278,PG/SG/G/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,NOP,6.2
C,DeAndre Jordan (41847293),DeAndre Jordan,41847293,C/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,NOP,10.5
C,Hunter Dickinson (41847299),Hunter Dickinson,41847299,C/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,NOP,3
PF,Enrique Freeman (41847304),Enrique Freeman,41847304,PF/F/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,MIN,0
C,Rocco Zikarsky (41847307),Rocco Zikarsky,41847307,C/UTIL,3000,NOP@MIN 02/06/2026 08:00PM ET,MIN,0
