Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
126258-84669,PG,Luka,Luka Doncic,Doncic,58.161539713541664,39,12700,LAL@NY,LAL,NY,,,,,,PG
126258-55062,C,Nikola,Nikola Jokic,Jokic,63.61211973248106,33,12000,OKC@DEN,DEN,OKC,P,Knee,,,,C
126258-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,50.778725482047875,47,11300,OKC@DEN,OKC,DEN,,,,,,PG
126258-157808,PG,Cade,Cade Cunningham,Cunningham,49.86585365853659,41,10200,BKN@DET,DET,BKN,P,Hip,,,,PG
126258-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,45.30652386209239,46,9900,CLE@POR,CLE,POR,,,,,,PG/SG
126258-145539,SF/PF,Deni,Deni Avdija,Avdija,44.40909090909091,44,9500,CLE@POR,POR,CLE,Q,Back,,,,SF/PF
126258-9644,PG/SG,James,James Harden,Harden,44.69090964577415,44,9400,LAC@PHO,LAC,PHO,O,Personal,,,,PG/SG
126258-66108,PG/SG,Jamal,Jamal Murray,Murray,43.81136252663352,44,9300,OKC@DEN,DEN,OKC,P,Hip,,,,PG/SG
126258-157822,PF/SF,Scottie,Scottie Barnes,Barnes,43.43061423788265,49,9100,UTA@TOR,TOR,UTA,,,,,,SF/PF
126258-9488,PF/SF,LeBron,LeBron James,James,41.01000162760417,30,8800,LAL@NY,LAL,NY,,,,,,SF/PF
126258-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,46.341175752527576,34,8700,LAC@PHO,LAC,PHO,,,,,,SF/PF
126258-84690,PG,Jalen,Jalen Brunson,Brunson,40.21628020530523,43,8700,LAL@NY,NY,LAL,,,,,,PG
126258-58462,C/PF,Karl-Anthony,Karl-Anthony Towns,Towns,40.5977783203125,45,8600,LAL@NY,NY,LAL,,,,,,PF/C
126258-84682,PF/SF,Michael,Michael Porter,Porter,40.58420924136513,38,8500,BKN@DET,BKN,DET,,,,,,SF/PF
126258-188412,PG/SG,Keyonte,Keyonte George,George,39.685105344082444,47,8500,UTA@TOR,UTA,TOR,O,Ankle,,,,PG/SG
126258-203764,C/PF,Alex,Alex Sarr,Sarr,38.19473748458059,38,8400,SAC@WAS,WAS,SAC,Q,Calf,,,,PF/C
126258-80817,C/PF,Bam,Bam Adebayo,Adebayo,37.30714343843006,42,8300,CHI@MIA,MIA,CHI,,,,,,PF/C
126258-171759,C/PF,Chet,Chet Holmgren,Holmgren,36.77209188771803,43,8200,OKC@DEN,OKC,DEN,,,,,,PF/C
