Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
126382-203775,PG,Tristen,Tristen Newton,Newton,1.475000024,8,3500,BOS@HOU,HOU,BOS,,,,,,PG
126382-11074,SG,Garrett,Garrett Temple,Temple,1.830769172,13,3500,MIN@TOR,TOR,MIN,,,,,,SG
126382-228151,SG,Jahmai,Jahmai Mashack,Mashack,2.142857143,7,3600,MEM@SAC,MEM,SAC,,,,,,SG
126382-203760,SF,Pacome,Pacome Dadiet,Dadiet,2.17777782,18,3500,DEN@NY,NY,DEN,,,,,,SF
126382-14505,C,Bismack,Bismack Biyombo,Biyombo,2.574999968,12,3500,OKC@SA,SA,OKC,,,,,,C
126382-203793,SF,Harrison,Harrison Ingram,Ingram,2.650000095,4,3500,OKC@SA,SA,OKC,,,,,,SF
126382-9648,SF,Jeff,Jeff Green,Green,2.912499905,16,3500,BOS@HOU,HOU,BOS,,,,,,SF
126382-228178,C,Hunter,Hunter Dickinson,Dickinson,3,1,3500,NO@MIL,NO,MIL,Q,Knee,,,,C
126382-229095,SG,Curtis,Curtis Jones,Jones,3.083333333,6,3500,DEN@NY,DEN,NY,,,,,,SG
126382-228181,PG,Chucky,Chucky Hepburn,Hepburn,3.099999905,2,3500,MIN@TOR,TOR,MIN,O,Knee,,,,PG
126382-59318,SG,Joe,Joe Ingles,Ingles,3.15625,16,3500,MIN@TOR,MIN,TOR,,,,,,SG
126382-111372,SF,Thanasis,Thanasis Antetokounmpo,Antetokounmpo,3.57058828,17,3500,NO@MIL,MIL,NO,,,,,,SF
126382-195937,C,Trey,Trey Jemison,Jemison,3.599999905,8,3500,DEN@NY,NY,DEN,,,,,,C
126382-171658,SF,Johnny,Johnny Juzang,Juzang,3.694736681,19,3500,MIN@TOR,MIN,TOR,,,,,,SF
126382-111492,SF,Amir,Amir Coffey,Coffey,3.696551619,29,3500,NO@MIL,MIL,NO,,,,,,SF
126382-203720,SF,Dillon,Dillon Jones,Jones,3.700000127,3,3500,DEN@NY,NY,DEN,,,,,,SF
126382-165854,SG,Lindy,Lindy Waters,Waters,3.70357132,28,3500,OKC@SA,SA,OKC,O,Knee,,,,SG
126382-233093,SG,Chris,Chris Youngblood,Youngblood,3.758064516,31,3500,OKC@SA,OKC,SA,,,,,,SG
126382-228156,SF,Brooks,Brooks Barnhizer,Barnhizer,4.196296409,27,3500,OKC@SA,OKC,SA,,,,,,SF
126382-188452,SF,Leonard,Leonard Miller,Miller,4.447368421,19,3500,MIN@TOR,MIN,TOR,,,,,,SF
126382-18256,PF,Doug,Doug McDermott,McDermott,4.5,8,3500,MEM@SAC,SAC,MEM,,,,,,PF
126382-188464,SG,Andre,Andre Jackson,Jackson,4.752174046,23,3500,NO@MIL,MIL,NO,,,,,,SG
126382-228167,SF,Mohamed,Mohamed Diawara,Diawara,4.804999924,40,3600,DEN@NY,NY,DEN,Q,Ankle,,,,SF
126382-203774,PF,Enrique,Enrique Freeman,Freeman,4.886363636,22,3500,MIN@TOR,MIN,TOR,,,,,,PF
126382-85597,PG,Jordan,Jordan McLaughlin,McLaughlin,4.942857288,21,3500,OKC@SA,SA,OKC,,,,,,PG
126382-203799,C,Jonathan,Jonathan Mogbo,Mogbo,4.971428644,21,3500,MIN@TOR,TOR,MIN,,,,,,C
126382-171762,PG,JD,JD Davison,Davison,5.19047619,21,3500,BOS@HOU,HOU,BOS,,,,,,PG
126382-171660,SF,Ron,Ron Harper,Harper,5.314285823,7,3500,BOS@HOU,BOS,HOU,,,,,,SF
126382-228125,SF,Carter,Carter Bryant,Bryant,5.428947449,38,3600,OKC@SA,SA,OKC,,,,,,SF
126382-188459,SF,Hunter,Hunter Tyson,Tyson,5.652380807,21,3500,DEN@NY,DEN,NY,,,,,,SF
126382-213367,SF,Jamison,Jamison Battle,Battle,5.788888719,36,3500,MIN@TOR,TOR,MIN,,,,,,SF
126382-213183,SF,Tristan,Tristan Enaruna,Enaruna,5.900000095,1,3500,CLE@LAC,CLE,LAC,,,,,,SF
