Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF,Jalen Johnson (42142205),Jalen Johnson,42142205,PF/F/UTIL,10500,POR@ATL 03/01/2026 06:00PM ET,ATL,51.04
C,Onyeka Okongwu (42142259),Onyeka Okongwu,42142259,C/UTIL,7900,POR@ATL 03/01/2026 06:00PM ET,ATL,35.19
PG/SG,Nickeil Alexander-Walker (42142261),Nickeil Alexander-Walker,42142261,PG/SG/G/UTIL,7800,POR@ATL 03/01/2026 06:00PM ET,ATL,34.02
PG/SG,CJ McCollum (42142289),CJ McCollum,42142289,PG/SG/G/UTIL,7100,POR@ATL 03/01/2026 06:00PM ET,ATL,31.03
SG/SF,Dyson Daniels (42142317),Dyson Daniels,42142317,SG/SF/F/G/UTIL,6500,POR@ATL 03/01/2026 06:00PM ET,ATL,32.79
SF/PF,Jonathan Kuminga (42142354),Jonathan Kuminga,42142354,SF/PF/F/UTIL,5900,POR@ATL 03/01/2026 06:00PM ET,ATL,25.47
SG/SF,Jaylen Brown (42142211),Jaylen Brown,42142211,SG/SF/F/G/UTIL,9800,PHI@BOS 03/01/2026 08:00PM ET,BOS,46.76
PG,Derrick White (42142244),Derrick White,42142244,PG/G/UTIL,8300,PHI@BOS 03/01/2026 08:00PM ET,BOS,37.1
PF,Jayson Tatum (42142256),Jayson Tatum,42142256,PF/F/UTIL,8000,PHI@BOS 03/01/2026 08:00PM ET,BOS,0
PG/SG,Payton Pritchard (42142277),Payton Pritchard,42142277,PG/SG/G/UTIL,7300,PHI@BOS 03/01/2026 08:00PM ET,BOS,33.03
C,Nikola Vucevic (42142339),Nikola Vucevic,42142339,C/UTIL,6100,PHI@BOS 03/01/2026 08:00PM ET,BOS,35.83
C,Neemias Queta (42142412),Neemias Queta,42142412,C/UTIL,5100,PHI@BOS 03/01/2026 08:00PM ET,BOS,26.35
PG/SF,Cooper Flagg (42142226),Cooper Flagg,42142226,PG/SF/F/G/UTIL,8900,OKC@DAL 03/01/2026 08:00PM ET,DAL,38.39
SF,Naji Marshall (42142311),Naji Marshall,42142311,SF/F/UTIL,6600,OKC@DAL 03/01/2026 08:00PM ET,DAL,28.16
PF,PJ Washington (42142314),PJ Washington,42142314,PF/F/UTIL,6600,OKC@DAL 03/01/2026 08:00PM ET,DAL,30.23
PG/SG,Brandon Williams (42142366),Brandon Williams,42142366,PG/SG/G/UTIL,5800,OKC@DAL 03/01/2026 08:00PM ET,DAL,24.18
SF/PF,Khris Middleton (42142379),Khris Middleton,42142379,SF/PF/F/UTIL,5700,OKC@DAL 03/01/2026 08:00PM ET,DAL,22.4
