Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
126890-188414,C/PF,Victor,Victor Wembanyama,Wembanyama,50.86511514,43,11800,SA@TOR,SA,TOR,,,,,,PF/C
126890-157808,PG,Cade,Cade Cunningham,Cunningham,50.45200195,50,11400,OKC@DET,DET,OKC,,,,,,PG
126890-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,49.97333171,30,10800,CLE@MIL,MIL,CLE,O,Calf,,,,PF
126890-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,50.88979791,49,10500,OKC@DET,OKC,DET,O,Abdomen,,,,PG
126890-157908,C/PF,Alperen,Alperen Sengun,Sengun,44.96530712,49,9700,SAC@HOU,HOU,SAC,,,,,,PF/C
126890-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,45.07999822,55,9600,CLE@MIL,CLE,MIL,O,Groin,,,,PG/SG
126890-157822,PF/SF,Scottie,Scottie Barnes,Barnes,43.74464199,56,9500,SA@TOR,TOR,SA,Q,Quadriceps,,,,SF/PF
126890-110345,PG/SG,Kevin,Kevin Porter,Porter,40.64193627,31,9300,CLE@MIL,MIL,CLE,,,,,,PG/SG
126890-9644,PG/SG,James,James Harden,Harden,43.74117743,51,9200,CLE@MIL,CLE,MIL,Q,Thumb,,,,PG/SG
126890-9646,SF/PF,Kevin,Kevin Durant,Durant,41.2207538,53,9100,SAC@HOU,HOU,SAC,,,,,,SF/PF
126890-188405,SG/PG,Amen,Amen Thompson,Thompson,38.40181996,55,8300,SAC@HOU,HOU,SAC,O,Quadriceps,,,,PG/SG
126890-66048,SF/PF,Brandon,Brandon Ingram,Ingram,36.58928571,56,8200,SA@TOR,TOR,SA,,,,,,SF/PF
126890-171779,C,Jalen,Jalen Duren,Duren,36.41304348,46,8100,OKC@DET,DET,OKC,,,,,,C
126890-171759,C/PF,Chet,Chet Holmgren,Holmgren,36.14230816,52,8100,OKC@DET,OKC,DET,D,Back,,,,PF/C
126890-171772,PG/SG,Ryan,Ryan Rollins,Rollins,34.24074074,54,8000,CLE@MIL,MIL,CLE,,,,,,PG/SG
126890-9524,PG,Stephen,Stephen Curry,Curry,40.48974296,39,7900,GS@MEM,GS,MEM,O,Knee,,,,PG
126890-203723,SG/PG,Stephon,Stephon Castle,Castle,34.71702024,47,7700,SA@TOR,SA,TOR,,,,,,PG/SG
126890-157845,PF/C,Evan,Evan Mobley,Mobley,39.78222114,45,7500,CLE@MIL,CLE,MIL,O,Calf,,,,PF/C
126890-80821,C/PF,Jarrett,Jarrett Allen,Allen,32.25744629,47,7400,CLE@MIL,CLE,MIL,,,,,,PF/C
