Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125534-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,51.432001953125,25,11400,MIN@MIL,MIL,MIN,,,,,,PF
125534-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,51.23684210526316,38,10900,SA@OKC,OKC,SA,,,,,,PG
125534-188414,C/PF,Victor,Victor Wembanyama,Wembanyama,50.3439990234375,25,10100,SA@OKC,SA,OKC,,,,,,PF/C
125534-66108,PG/SG,Jamal,Jamal Murray,Murray,43.65142996651786,35,9900,DEN@NO,DEN,NO,Q,Ankle,,,,PG/SG
125534-145321,SG/SF,Anthony,Anthony Edwards,Edwards,44.29697117660985,33,9500,MIN@MIL,MIN,MIL,O,Foot,,,,SG/SF
125534-157908,C/PF,Alperen,Alperen Sengun,Sengun,46.206896551724135,29,9400,CHI@HOU,HOU,CHI,,,,,,PF/C
125534-9646,SF/PF,Kevin,Kevin Durant,Durant,41.05294261259191,34,9300,CHI@HOU,HOU,CHI,,,,,,SF/PF
125534-58460,PG/SG,Devin,Devin Booker,Booker,40.07499864366319,36,9200,PHO@MIA,PHO,MIA,,,,,,PG/SG
125534-188405,SG/PG,Amen,Amen Thompson,Thompson,38.76666598849826,36,8900,CHI@HOU,HOU,CHI,,,,,,PG/SG
125534-110310,PF,Zion,Zion Williamson,Williamson,37.5960009765625,25,8500,DEN@NO,NO,DEN,,,,,,PF
125534-110345,PG/SG,Kevin,Kevin Porter,Porter,40.65,20,8300,MIN@MIL,MIL,MIN,,,,,,PG/SG
125534-171760,SF/PF,Jalen,Jalen Williams,Williams,35.55714343843006,21,8200,SA@OKC,OKC,SA,,,,,,SF/PF
125534-42669,PF,Julius,Julius Randle,Randle,40.182501220703124,40,8100,MIN@MIL,MIN,MIL,,,,,,PF
125534-171759,C/PF,Chet,Chet Holmgren,Holmgren,36.03823673023897,34,8100,SA@OKC,OKC,SA,,,,,,PF/C
125534-157905,PG/SG,Josh,Josh Giddey,Giddey,43.78666585286458,30,8000,CHI@HOU,CHI,HOU,O,Hamstring,,,,PG/SG
125534-157847,SF/SG,Trey,Trey Murphy,Murphy,37.88648780616554,37,7900,DEN@NO,NO,DEN,,,,,,SG/SF
125534-14514,C,Nikola,Nikola Vucevic,Vucevic,35.16216216216216,37,7900,CHI@HOU,CHI,HOU,,,,,,C
125534-110312,SG/PG,Tyler,Tyler Herro,Herro,34.51111178927951,9,7700,PHO@MIA,MIA,PHO,,,,,,PG/SG
125534-80810,PG,De'Aaron,De'Aaron Fox,Fox,36.78333333333333,30,7600,SA@OKC,SA,OKC,,,,,,PG
125534-171761,PF/SF,Peyton,Peyton Watson,Watson,26.25135102143159,37,7600,DEN@NO,DEN,NO,,,,,,SF/PF
125534-110995,C/PF,Naz,Naz Reid,Reid,29.485000610351562,40,7500,MIN@MIL,MIN,MIL,,,,,,PF/C
125534-203723,SG/PG,Stephon,Stephon Castle,Castle,34.36333414713542,30,7400,SA@OKC,SA,OKC,,,,,,PG/SG
125534-80817,C/PF,Bam,Bam Adebayo,Adebayo,35.345159715221776,31,7300,PHO@MIA,MIA,PHO,,,,,,PF/C
125534-228132,PF/C,Derik,Derik Queen,Queen,31.832501220703126,40,7200,DEN@NO,NO,DEN,,,,,,PF/C
125534-16293,SF/SG,Norman,Norman Powell,Powell,34.68484774502841,33,6900,PHO@MIA,MIA,PHO,Q,Back,,,,SG/SF
125534-203761,PF/SF,Matas,Matas Buzelis,Buzelis,28.42105263157895,38,6700,CHI@HOU,CHI,HOU,,,,,,SF/PF
125534-84681,SG/PG,Donte,Donte DiVincenzo,DiVincenzo,29.0125,40,6600,MIN@MIL,MIN,MIL,,,,,,PG/SG
125534-171772,PG/SG,Ryan,Ryan Rollins,Rollins,33.64358911758814,39,6600,MIN@MIL,MIL,MIN,,,,,,PG/SG
125534-110326,SG/PG,Coby,Coby White,White,28.372222900390625,18,6500,CHI@HOU,CHI,HOU,O,Rest,,,,PG/SG
125534-40203,C,Rudy,Rudy Gobert,Gobert,32.83250122070312,40,6400,MIN@MIL,MIN,MIL,O,Suspension,,,,C
