Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
126036-84669,PG,Luka,Luka Doncic,Doncic,57.866665310329864,36,12500,LAL@CHI,LAL,CHI,,,,,,PG
126036-67026,SF/SG,Jaylen,Jaylen Brown,Brown,45.86428687686012,42,10200,POR@BOS,BOS,POR,,,,,,SG/SF
126036-145539,SF/PF,Deni,Deni Avdija,Avdija,45.25238037109375,42,9900,POR@BOS,POR,BOS,Q,Back,,,,SF/PF
126036-145321,SG/SF,Anthony,Anthony Edwards,Edwards,44.813512853673984,37,9800,GS@MIN,MIN,GS,,,,,,SG/SF
126036-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,45.67906863190407,43,9700,ORL@CLE,CLE,ORL,,,,,,PG/SG
126036-157908,C/PF,Alperen,Alperen Sengun,Sengun,45.77222357855903,36,9600,MEM@HOU,HOU,MEM,,,,,,PF/C
126036-171770,PF/SF,Paolo,Paolo Banchero,Banchero,39.94411692899816,34,9300,ORL@CLE,ORL,CLE,,,,,,SF/PF
126036-9524,PG,Stephen,Stephen Curry,Curry,41.099998680320944,37,9200,GS@MIN,GS,MIN,Q,Knee,,,,PG
126036-9488,PF/SF,LeBron,LeBron James,James,42.225925021701386,27,9000,LAL@CHI,LAL,CHI,,,,,,SF/PF
126036-9646,SF/PF,Kevin,Kevin Durant,Durant,41.61707436166159,41,8900,MEM@HOU,HOU,MEM,,,,,,SF/PF
126036-188405,SG/PG,Amen,Amen Thompson,Thompson,38.81162847474564,43,8800,MEM@HOU,HOU,MEM,,,,,,PG/SG
126036-157845,PF/C,Evan,Evan Mobley,Mobley,41.01951338605183,41,8700,ORL@CLE,CLE,ORL,,,,,,PF/C
126036-42669,PF,Julius,Julius Randle,Randle,40.33695652173913,46,8400,GS@MIN,MIN,GS,,,,,,PF
126036-157905,PG/SG,Josh,Josh Giddey,Giddey,43.02812576293945,32,8300,LAL@CHI,CHI,LAL,,,,,,PG/SG
126036-49675,SG/PG,Derrick,Derrick White,White,37.66976857739826,43,8200,POR@BOS,BOS,POR,,,,,,PG/SG
126036-84683,PF/C,Jaren,Jaren Jackson,Jackson,33.63658477038872,41,8000,MEM@HOU,MEM,HOU,,,,,,PF/C
126036-171804,SG/PG,Shaedon,Shaedon Sharpe,Sharpe,33.285714285714285,42,7800,POR@BOS,POR,BOS,,,,,,PG/SG
